ano,grade,word,japanese,english,pos,category,actors
95,5,July,7月,the month after June,noun,word,-
96,5,August,8月,the month after July,noun,word,-
97,5,September,9月,the month after August,noun,word,-
98,5,October,10月,the month after September,noun,word,-
99,5,November,11月,the month after October,noun,word,-
100,5,December,12月,the last month,noun,word,-
101,5,spring,春,the season after winter,noun,word,-
102,5,summer,夏,the hot season,noun,word,-
103,5,autumn,秋,the season after summer,noun,word,-
104,5,fall,秋,another word for autumn,noun,word,-
105,5,winter,冬,the cold season,noun,word,-
106,5,Japan,日本,a country in Asia,noun,word,-
107,5,United States,アメリカ,a country in North America,noun,word,-
108,5,United Kingdom,イギリス,a country in Europe,noun,word,-
109,5,Canada,カナダ,a country north of the United States,noun,word,-
110,5,Australia,オーストラリア,a country and continent,noun,word,-
111,5,Spain,スペイン,a country in Europe,noun,word,-
112,5,China,中国,a large country in Asia,noun,word,-
113,5,France,フランス,a country in Europe,noun,word,-
114,5,Germany,ドイツ,a country in Europe,noun,word,-
115,5,Italy,イタリア,a country in Europe,noun,word,-
116,5,Russia,ロシア,a very large country,noun,word,-
117,5,India,インド,a country in Asia,noun,word,-
118,5,Brazil,ブラジル,a country in South America,noun,word,-
119,5,Mexico,メキシコ,a country south of the United States,noun,word,-
120,5,Indonesia,インドネシア,a country with many islands,noun,word,-
121,5,Thailand,タイ,a country in Asia,noun,word,-
122,5,Vietnam,ベトナム,a country in Asia,noun,word,-
123,5,Philippines,フィリピン,a country with many islands,noun,word,-
124,5,South Korea,韓国,a country in Asia,noun,word,-
125,5,North Korea,北朝鮮,a country in Asia,noun,word,-
126,5,South Africa,南アフリカ,a country in Africa,noun,word,-
127,5,Africa,アフリカ,a large place with many countries,noun,word,-
128,5,Asia,アジア,a large place with many countries,noun,word,-
129,5,Europe,ヨーロッパ,a large place with many countries,noun,word,-
130,5,country,国,a place with a government,noun,word,-
131,5,place,場所,a space you can be in,noun,word,-
132,5,city,都市,a big town,noun,word,-
133,5,town,町,a place where people live,noun,word,-
134,5,village,村,a small town,noun,word,-
135,5,home,家・故郷,the place where you live,noun,word,-
136,5,house,一軒家,a building for people to live in,noun,word,-
137,5,apartment,アパート,a home in a big building,noun,word,-
138,5,room,部屋,a part of a house,noun,word,-
139,5,bedroom,寝室,a room for sleeping,noun,word,-
140,5,kitchen,台所,a room for cooking,noun,word,-
141,5,bathroom,浴室・トイレ,a room with a bath or toilet,noun,word,-
142,5,living room,居間,a room for relaxing,phrase,phrase,-
143,5,door,ドア,a thing you open to go in,noun,word,-
144,5,window,窓,glass in a wall to see out,noun,word,-
145,5,wall,壁,the side of a room,noun,word,-
146,5,floor,床,the bottom of a room,noun,word,-
147,5,roof,屋根,the top of a house,noun,word,-
148,5,garden,庭,an outside place with plants,noun,word,-
149,5,school,学校,a place to study,noun,word,-
150,5,classroom,教室,a room for class,noun,word,-
151,5,gym,体育館,a place to play sports inside,noun,word,-
152,5,library,図書館,a place to read and borrow books,noun,word,-
153,5,office,事務所,a place where people work,noun,word,-
154,5,city hall,市役所,a place for city work,phrase,phrase,-
155,5,hospital,病院,a place for sick people,noun,word,-
156,5,bank,銀行,a place for money,noun,word,-
157,5,post office,郵便局,a place to send letters,phrase,phrase,-
158,5,store,店,a place to buy things,noun,word,-
159,5,shop,店,a place to buy things,noun,word,-
160,5,supermarket,スーパー,a big store for food,noun,word,-
161,5,market,市場,a place to buy and sell,noun,word,-
162,5,restaurant,レストラン,a place to eat meals,noun,word,-
163,5,cafe,カフェ,a small place to drink coffee,noun,word,-
164,5,station,駅,a place to get on a train,noun,word,-
165,5,bus stop,バス停,a place to wait for a bus,phrase,phrase,-
166,5,airport,空港,a place for planes,noun,word,-
167,5,park,公園,a green place to walk and play,noun,word,-
168,5,zoo,動物園,a place to see animals,noun,word,-
169,5,museum,博物館,a place to see old things,noun,word,-
170,5,cinema,映画館,a place to watch movies,noun,word,-
171,5,stadium,スタジアム,a big place to watch sports,noun,word,-
172,5,pool,プール,a place to swim,noun,word,-
173,5,beach,海辺,sand by the sea,noun,word,-
174,5,mountain,山,a very high hill,noun,word,-
175,5,river,川,water that moves to the sea,noun,word,-
176,5,sea,海,a large area of salt water,noun,word,-
177,5,lake,湖,a large area of water,noun,word,-
178,5,road,道路,a way for cars,noun,word,-
179,5,street,通り,a road in a town,noun,word,-
180,5,bridge,橋,a way over water or a road,noun,word,-
181,5,sunny,晴れている,with sun,adjective,word,-
182,5,cloudy,曇っている,with many clouds,adjective,word,-
183,5,rainy,雨の,with rain,adjective,word,-
184,5,snowy,雪の,with snow,adjective,word,-
185,5,foggy,霧の,with fog,adjective,word,-
186,5,windy,風の強い,with strong wind,adjective,word,-
187,5,sunshine,晴天,strong light from the sun,noun,word,-
188,5,sun,太陽,the bright thing in the sky,noun,word,-
189,5,the sun,太陽,the sun in the sky,phrase,phrase,-
190,5,cloud,雲,a white or gray thing in the sky,noun,word,-
191,5,rain,雨,water from clouds,noun,word,-
192,5,shower,にわか雨,a short time of rain,noun,word,-
193,5,snow,雪,white cold things from the sky,noun,word,-
194,5,fog,霧,cloud close to the ground,noun,word,-
195,5,wind,風,moving air,noun,word,-
196,5,clear up,晴れる,to become sunny after clouds,verb,phrase,-
197,5,boy,男の子,a young male child,noun,word,-
198,5,girl,女の子,a young female child,noun,word,-
199,5,baby,赤ちゃん,a very young child,noun,word,-
200,5,child,子ども,a young person,noun,word,-
201,5,children,子どもたち,more than one child,noun,word,-
202,5,youth,若者,a young person,noun,word,-
203,5,man,男性,an adult male,noun,word,-
204,5,woman,女性,an adult female,noun,word,-
205,5,person,人,a human,noun,word,-
206,5,people,人々,many persons,noun,word,-
207,5,parent,親,a mother or father,noun,word,-
208,5,father,父,a male parent,noun,word,-
209,5,mother,母,a female parent,noun,word,-
210,5,dad,お父さん,a word for father,noun,word,-
211,5,mom,お母さん,a word for mother,noun,word,-
212,5,brother,兄弟,a male sibling,noun,word,-
213,5,sister,姉妹,a female sibling,noun,word,-
214,5,sibling,きょうだい,a brother or sister,noun,word,-
215,5,grandfather,おじいさん,the father of your father or mother,noun,word,-
216,5,grandmother,おばあさん,the mother of your father or mother,noun,word,-
217,5,grandpa,おじいちゃん,a word for grandfather,noun,word,-
218,5,grandma,おばあちゃん,a word for grandmother,noun,word,-
219,5,cousin,いとこ,a child of your aunt or uncle,noun,word,-
220,5,husband,夫,a married man,noun,word,-
221,5,wife,妻,a married woman,noun,word,-
222,5,family,家族,a group of parents and children,noun,word,-
223,5,friend,友だち,a person you like,noun,word,-
224,5,teacher,先生,a person who teaches,noun,word,-
225,5,student,学生,a person who studies,noun,word,-
226,5,doctor,医者,a person who helps sick people,noun,word,-
227,5,nurse,看護師,a person who helps a doctor,noun,word,-
228,5,driver,運転手,a person who drives,noun,word,-
229,5,pilot,パイロット,a person who flies a plane,noun,word,-
230,5,officer,警官・役人,a person who works for the city,noun,word,-
231,5,worker,働く人,a person who works,noun,word,-
232,5,waiter,ウエーター,a person who brings food in a restaurant,noun,word,-
233,5,waitress,ウエートレス,a woman who brings food in a restaurant,noun,word,-
234,5,player,選手・演奏者,a person who plays a sport or music,noun,word,-
235,5,singer,歌手,a person who sings,noun,word,-
236,5,dancer,ダンサー,a person who dances,noun,word,-
237,5,pianist,ピアニスト,a person who plays the piano,noun,word,-
238,5,basketball,バスケットボール,a sport with a ball and a basket,noun,word,-
239,5,baseball,野球,a sport with a bat and ball,noun,word,-
240,5,soccer,サッカー,a sport with a ball and feet,noun,word,-
241,5,football,サッカー,another word for soccer,noun,word,-
242,5,tennis,テニス,a sport with a racket and ball,noun,word,-
243,5,badminton,バドミントン,a sport with a racket and a shuttlecock,noun,word,-
244,5,table tennis,卓球,a game with a small ball and table,phrase,phrase,-
245,5,volleyball,バレーボール,a sport with a net and ball,noun,word,-
246,5,golf,ゴルフ,a sport to hit a ball into a hole,noun,word,-
247,5,boxing,ボクシング,a sport of fighting with hands,noun,word,-
248,5,marathon,マラソン,a very long running race,noun,word,-
249,5,swimming,水泳,the sport of swimming,noun,word,-
250,5,skiing,スキー,the sport of skiing,noun,word,-
251,5,snowboarding,スノーボード,the sport of riding on snow,noun,word,-
252,5,surfing,サーフィン,the sport of riding waves,noun,word,-
253,5,rugby,ラグビー,a sport with an oval ball,noun,word,-
254,5,American football,アメリカンフットボール,a sport in the United States with a ball,phrase,phrase,-
255,5,cycling,サイクリング,riding a bicycle as a sport,noun,word,-
256,5,running,ランニング,going fast on your feet as a sport,noun,word,-
257,5,judo,柔道,a Japanese fighting sport,noun,word,-
258,5,karate,空手,a Japanese fighting sport with hands and feet,noun,word,-
259,5,sumo,相撲,a Japanese sport with big wrestlers,noun,word,-
260,5,figure skating,フィギュアスケート,skating on ice with music,phrase,phrase,-
261,5,athletics,陸上競技,running and jumping sports,noun,word,-
262,5,dinner,夕食,an evening meal,noun,word,-
263,5,breakfast,朝食,a morning meal,noun,word,-
264,5,lunch,昼食,a meal in the middle of the day,noun,word,-
265,5,meal,食事,food you eat at one time,noun,word,-
266,5,food,食べ物,things you eat,noun,word,-
267,5,drink,飲み物,something you drink,noun,word,-
268,5,water,水,a clear drink,noun,word,-
269,5,tea,お茶,a hot drink made from leaves,noun,word,-
270,5,coffee,コーヒー,a dark hot drink,noun,word,-
271,5,juice,ジュース,a drink from fruit,noun,word,-
272,5,milk,牛乳,a white drink from cows,noun,word,-
273,5,bread,パン,baked food made from flour,noun,word,-
274,5,rice,米・ご飯,a white food from plants,noun,word,-
275,5,egg,卵,food from a chicken,noun,word,-
276,5,meat,肉,food from animals,noun,word,-
277,5,fish,魚,a water animal and also food,noun,word,-
278,5,vegetable,野菜,plants you eat,noun,word,-
279,5,fruit,果物,sweet food from trees,noun,word,-
280,5,apple,りんご,a round red or green fruit,noun,word,-
281,5,banana,バナナ,a long yellow fruit,noun,word,-
282,5,orange,オレンジ,a round orange fruit,noun,word,-
283,5,grape,ぶどう,a small round fruit,noun,word,-
284,5,strawberry,いちご,a small red fruit,noun,word,-
285,5,cake,ケーキ,a sweet baked food,noun,word,-
286,5,cookie,クッキー,a small sweet baked food,noun,word,-
287,5,chocolate,チョコレート,a sweet brown food,noun,word,-
288,5,ice cream,アイスクリーム,a cold sweet food,phrase,phrase,-
289,5,soup,スープ,a hot liquid food,noun,word,-
290,5,salad,サラダ,a cold food of vegetables,noun,word,-
291,5,sandwich,サンドイッチ,food with bread and other food,noun,word,-
292,5,pizza,ピザ,round food with cheese and more,noun,word,-
293,5,cheese,チーズ,food made from milk,noun,word,-
294,5,salt,塩,a white thing used on food,noun,word,-
295,5,sugar,砂糖,a sweet white thing,noun,word,-
296,5,spicy,辛い,with a hot taste,adjective,word,-
297,5,sweet,甘い,with a sugar taste,adjective,word,-
298,5,sour,酸っぱい,with a sharp taste,adjective,word,-
299,5,bitter,苦い,with a strong bad taste,adjective,word,-
300,5,delicious,おいしい,tasting very good,adjective,word,-
301,5,hot,熱い・暑い,with a lot of heat,adjective,word,-
302,5,cold,冷たい・寒い,not hot,adjective,word,-
303,5,warm,暖かい,not cold and not hot,adjective,word,-
304,5,cool,涼しい,slightly cold,adjective,word,-
305,5,animal,動物,a living thing that is not a plant,noun,word,-
306,5,dog,犬,a common animal that lives with people,noun,word,-
307,5,cat,猫,a small animal that lives with people,noun,word,-
308,5,bird,鳥,an animal that can fly,noun,word,-
309,5,fish,魚（生き物）,an animal that lives in water,noun,word,-
310,5,horse,馬,a large animal people ride,noun,word,-
311,5,cow,牛,a farm animal that gives milk,noun,word,-
312,5,pig,ぶた,a farm animal,noun,word,-
313,5,sheep,ひつじ,a farm animal with wool,noun,word,-
314,5,chicken,にわとり,a bird on a farm,noun,word,-
315,5,rabbit,うさぎ,a small animal with long ears,noun,word,-
316,5,mouse,ねずみ,a small animal,noun,word,-
317,5,elephant,ぞう,a very large animal with a long nose,noun,word,-
318,5,lion,ライオン,a big wild cat,noun,word,-
319,5,tiger,とら,a big wild cat with stripes,noun,word,-
320,5,bear,くま,a big wild animal,noun,word,-
321,5,monkey,さる,an animal that climbs trees,noun,word,-
322,5,giraffe,きりん,a very tall animal,noun,word,-
323,5,horseback riding,乗馬,riding a horse as a sport,phrase,phrase,-
324,5,tree,木,a big plant with a trunk,noun,word,-
325,5,flower,花,a pretty part of a plant,noun,word,-
326,5,grass,草,green plants on the ground,noun,word,-
327,5,leaf,葉,a green part of a plant,noun,word,-
328,5,season,季節,spring summer autumn or winter,noun,word,-
329,5,sky,空,the space above the earth,noun,word,-
330,5,star,星,a small bright light in the night sky,noun,word,-
331,5,moon,月,the round thing in the night sky,noun,word,-
332,5,world,世界,earth and all people,noun,word,-
333,5,earth,地球,the planet we live on,noun,word,-
334,5,fire,火,burning heat and light,noun,word,-
335,5,water,水,clear liquid in rivers and seas,noun,word,-
336,5,air,空気,what we breathe,noun,word,-
337,5,food,食べ物,things you eat,noun,word,-
338,5,color,色,red blue and other kinds,noun,word,-
339,5,red,赤,the color of an apple,adjective,word,-
340,5,blue,青,the color of the sky,adjective,word,-
341,5,green,緑,the color of grass,adjective,word,-
342,5,yellow,黄色,the color of a banana,adjective,word,-
343,5,black,黒,the darkest color,adjective,word,-
344,5,white,白,the lightest color,adjective,word,-
345,5,brown,茶色,a dark color like chocolate,adjective,word,-
346,5,pink,ピンク,a light red color,adjective,word,-
347,5,orange,オレンジ色,a color like an orange,adjective,word,-
348,5,purple,むらさき,a dark red and blue color,adjective,word,-
349,5,number,数・番号,a word like one or two,noun,word,-
350,5,zero,0,number before one,noun,word,-
351,5,one,1,the first number,noun,word,-
352,5,two,2,number after one,noun,word,-
353,5,three,3,number after two,noun,word,-
354,5,four,4,number after three,noun,word,-
355,5,five,5,number after four,noun,word,-
356,5,six,6,number after five,noun,word,-
357,5,seven,7,number after six,noun,word,-
358,5,eight,8,number after seven,noun,word,-
359,5,nine,9,number after eight,noun,word,-
360,5,ten,10,number after nine,noun,word,-
361,5,eleven,11,number after ten,noun,word,-
362,5,twelve,12,number after eleven,noun,word,-
363,5,thirteen,13,number after twelve,noun,word,-
364,5,fourteen,14,number after thirteen,noun,word,-
365,5,fifteen,15,number after fourteen,noun,word,-
366,5,sixteen,16,number after fifteen,noun,word,-
367,5,seventeen,17,number after sixteen,noun,word,-
368,5,eighteen,18,number after seventeen,noun,word,-
369,5,nineteen,19,number after eighteen,noun,word,-
370,5,twenty,20,number after nineteen,noun,word,-
371,5,thirty,30,three tens,noun,word,-
372,5,forty,40,four tens,noun,word,-
373,5,fifty,50,five tens,noun,word,-
374,5,sixty,60,six tens,noun,word,-
375,5,seventy,70,seven tens,noun,word,-
376,5,eighty,80,eight tens,noun,word,-
377,5,ninety,90,nine tens,noun,word,-
378,5,one hundred,100,ten tens,phrase,phrase,-
379,5,first,1番目,before second,adjective,word,-
380,5,second,2番目,after first,adjective,word,-
381,5,third,3番目,after second,adjective,word,-
382,5,half,半分,one of two equal parts,noun,word,-
383,5,quarter,4分の1,one of four equal parts,noun,word,-
384,5,time,時間,minutes and hours,noun,word,-
385,5,clock,時計,a thing that shows time,noun,word,-
386,5,wristwatch,腕時計,a watch you wear on your arm,noun,word,-
387,5,calendar,カレンダー,a page that shows days and months,noun,word,-
388,5,diary,日記,a book you write about your day,noun,word,-
389,5,book,本,a set of pages to read,noun,word,-
390,5,notebook,ノート,a book for writing,noun,word,-
391,5,pen,ペン,a tool for writing,noun,word,-
392,5,pencil,えんぴつ,a tool for writing,noun,word,-
393,5,eraser,消しゴム,a thing to clean pencil words,noun,word,-
394,5,ruler,定規,a tool to draw a straight line,noun,word,-
395,5,scissors,はさみ,a tool to cut paper,noun,word,-
396,5,tape,テープ,a sticky strip to hold things,noun,word,-
397,5,bag,かばん,a thing to carry things,noun,word,-
398,5,box,箱,a container with sides,noun,word,-
399,5,coin,硬貨,round money made of metal,noun,word,-
400,5,money,お金,what you use to buy things,noun,word,-
401,5,phone,電話,a thing to talk to someone far away,noun,word,-
402,5,smartphone,スマホ,a phone with a screen and apps,noun,word,-
403,5,computer,コンピュータ,a machine to work and play,noun,word,-
404,5,laptop,ノートパソコン,a computer you can carry,noun,word,-
405,5,television,テレビ,a screen to watch shows,noun,word,-
406,5,TV,テレビ,short for television,noun,word,-
407,5,headphones,ヘッドフォン,things you wear to listen to sound,noun,word,-
408,5,camera,カメラ,a thing to take photos,noun,word,-
409,5,photo,写真,a picture from a camera,noun,word,-
410,5,picture,絵・写真,an image you can see,noun,word,-
411,5,art,芸術,painting music and more,noun,word,-
412,5,music,音楽,sounds like songs,noun,word,-
413,5,song,歌,a short piece of music with words,noun,word,-
414,5,sound,音,what you hear,noun,word,-
415,5,story,物語,a set of events in words,noun,word,-
416,5,idea,考え,a thought in your mind,noun,word,-
417,5,word,言葉,a unit of language,noun,word,-
418,5,name,名前,what a person or thing is called,noun,word,-
419,5,letter,手紙・文字,a written message or an ABC sign,noun,word,-
420,5,dictionary,辞書,a book of word meanings,noun,word,-
421,5,homework,宿題,school work you do at home,noun,word,-
422,5,test,テスト,a school check of learning,noun,word,-
423,5,subject,科目,a school class like math,noun,word,-
424,5,math,数学,school study of numbers,noun,word,-
425,5,English,英語,the language of the UK and US,noun,word,-
426,5,history,歴史,study of the past,noun,word,-
427,5,science,理科,study of nature,noun,word,-
428,5,club,クラブ,an after school group,noun,word,-
429,5,passport,パスポート,a paper to travel to other countries,noun,word,-
430,5,plane,飛行機,a flying vehicle,noun,word,-
431,5,train,電車,a vehicle that runs on tracks,noun,word,-
432,5,bus,バス,a large road vehicle for many people,noun,word,-
433,5,car,車,a road vehicle,noun,word,-
434,5,taxi,タクシー,a car you pay to ride,noun,word,-
435,5,bicycle,自転車,a two wheel vehicle you ride,noun,word,-
436,5,bike,自転車,bicycle,noun,word,-
437,5,boat,ボート,a small water vehicle,noun,word,-
438,5,ship,船,a large water vehicle,noun,word,-
439,5,ticket,切符,a paper to ride a train or bus,noun,word,-
440,5,map,地図,a picture of places,noun,word,-
441,5,key,鍵,a thing to open a lock,noun,word,-
442,5,umbrella,傘,a thing to stop rain,noun,word,-
443,5,shoes,靴,things you wear on your feet,noun,word,-
444,5,socks,くつ下,clothes you wear on your feet,noun,word,-
445,5,hat,帽子,a thing you wear on your head,noun,word,-
446,5,cap,帽子,a small hat,noun,word,-
447,5,coat,コート,a warm outer clothes,noun,word,-
448,5,jacket,ジャケット,a short coat,noun,word,-
449,5,shirt,シャツ,clothes for the top of your body,noun,word,-
450,5,T-shirt,Tシャツ,a casual shirt with short sleeves,noun,word,-
451,5,pants,ズボン,clothes for your legs,noun,word,-
452,5,skirt,スカート,a dress part for legs,noun,word,-
453,5,dress,ワンピース,one piece clothes,noun,word,-
454,5,clothes,服,things you wear,noun,word,-
455,5,bag (school),通学かばん,a bag for school,noun,word,-
456,5,glasses,めがね,things you wear to see better,noun,word,-
457,5,face,顔,the front of the head,noun,word,-
458,5,hair,髪,what grows on your head,noun,word,-
459,5,head,頭,the top part of your body,noun,word,-
460,5,eye,目,a part you see with,noun,word,-
461,5,ear,耳,a part you hear with,noun,word,-
462,5,nose,鼻,a part you smell with,noun,word,-
463,5,mouth,口,a part you eat and speak with,noun,word,-
464,5,tooth,歯,a hard part in your mouth,noun,word,-
465,5,hand,手,a body part at the end of your arm,noun,word,-
466,5,finger,指,a part of your hand,noun,word,-
467,5,arm,腕,a body part from shoulder to hand,noun,word,-
468,5,leg,足,part of your body you walk with,noun,word,-
469,5,foot,足（片足）,part of your leg you stand on,noun,word,-
470,5,back,背中,the part behind your body,noun,word,-
471,5,heart,心臓,a part in your body that moves blood,noun,word,-
472,5,bed,ベッド,a thing you sleep on,noun,word,-
473,5,chair,いす,a seat for one person,noun,word,-
474,5,table,テーブル,a flat thing to put things on,noun,word,-
475,5,desk,机,a table for study or work,noun,word,-
476,5,blackboard,黒板,a board teachers write on,noun,word,-
477,5,plate,皿,a flat dish for food,noun,word,-
478,5,dish,皿・料理,a plate or food on it,noun,word,-
479,5,cup,カップ,a small container for drinks,noun,word,-
480,5,glass,グラス,a cup made of glass,noun,word,-
481,5,spoon,スプーン,a tool to eat soup,noun,word,-
482,5,fork,フォーク,a tool with points to eat,noun,word,-
483,5,knife,ナイフ,a tool to cut food,noun,word,-
484,5,pot,なべ,a metal container for cooking,noun,word,-
485,5,pan,フライパン,a flat pot for cooking,noun,word,-
486,5,bucket,バケツ,a container for water,noun,word,-
487,5,sponge,スポンジ,a soft thing to clean,noun,word,-
488,5,brush,ブラシ,a tool to clean or make smooth,noun,word,-
489,5,toothbrush,歯ブラシ,a brush for teeth,noun,word,-
490,5,soap,せっけん,a thing to wash with,noun,word,-
491,5,towel,タオル,cloth to dry your body,noun,word,-
492,5,clean,きれいな,not dirty,adjective,word,-
493,5,dirty,汚い,not clean,adjective,word,-
494,5,big,大きい,large in size,adjective,word,-
495,5,small,小さい,not big,adjective,word,-
496,5,long,長い,not short,adjective,word,-
497,5,short,短い,not long,adjective,word,-
498,5,tall,背が高い,high in height,adjective,word,-
499,5,low,低い,not high,adjective,word,-
500,5,high,高い,far up,adjective,word,-
501,5,fast,速い,not slow,adjective,word,-
502,5,slow,遅い,not fast,adjective,word,-
503,5,heavy,重い,not light,adjective,word,-
504,5,light,軽い,not heavy,adjective,word,-
505,5,new,新しい,not old,adjective,word,-
506,5,old,古い・年老いた,not new,adjective,word,-
507,5,young,若い,not old,adjective,word,-
508,5,good,良い,not bad,adjective,word,-
509,5,bad,悪い,not good,adjective,word,-
510,5,beautiful,美しい,very nice to see,adjective,word,-
511,5,ugly,醜い,not nice to see,adjective,word,-
512,5,bright,明るい,with a lot of light,adjective,word,-
513,5,dark,暗い,with little light,adjective,word,-
514,5,happy,うれしい,feeling good,adjective,word,-
515,5,sad,悲しい,not happy,adjective,word,-
516,5,angry,怒った,feeling mad,adjective,word,-
517,5,tired,疲れた,needing rest,adjective,word,-
518,5,hungry,おなかがすいた,needing food,adjective,word,-
519,5,thirsty,のどがかわいた,needing a drink,adjective,word,-
520,5,sick,病気の,not well,adjective,word,-
521,5,okay,大丈夫,fine and not bad,adjective,word,-
522,5,very,とても,to a high level,adverb,word,-
523,5,really,本当に,truly,adverb,word,-
524,5,too,〜もまた,also,adverb,word,-
525,5,also,〜もまた,too,adverb,word,-
526,5,always,いつも,at all times,adverb,word,-
527,5,usually,たいてい,most times,adverb,word,-
528,5,sometimes,ときどき,not always,adverb,word,-
