english	japanese	quiz_mode	source_word_id	source_word	scope	evidence	confidence	lookup_key
as ... as	～と同じくらい				COMMON	Distractor Frequency	HIGH	as ... as_COMMON_0
Asian	アジアの				COMMON	Distractor Frequency	HIGH	asian_COMMON_0
ask ~	～を質問する				COMMON	Distractor Frequency	HIGH	ask ~_COMMON_0
ask A	Aをたずねる				COMMON	Distractor Frequency	HIGH	ask a_COMMON_0
ask A about B	AにBを尋ねる				COMMON	Distractor Frequency	HIGH	ask a about b_COMMON_0
ask a question	質問する				COMMON	Distractor Frequency	HIGH	ask a question_COMMON_0
ask A to do	Aに～するよう頼む				COMMON	Distractor Frequency	HIGH	ask a to do_COMMON_0
ask the way	道をたずねる				COMMON	Distractor Frequency	HIGH	ask the way_COMMON_0
at a store	店で				COMMON	Distractor Frequency	HIGH	at a store_COMMON_0
at lunch	昼休みに				COMMON	Distractor Frequency	HIGH	at lunch_COMMON_0
at night	夜に				COMMON	Distractor Frequency	HIGH	at night_COMMON_0
at noon	正午に				COMMON	Distractor Frequency	HIGH	at noon_COMMON_0
at the beginning of ~	〜の初めに				COMMON	Distractor Frequency	HIGH	at the beginning of ~_COMMON_0
at the library	図書館で				COMMON	Distractor Frequency	HIGH	at the library_COMMON_0
at the park	公園で				COMMON	Distractor Frequency	HIGH	at the park_COMMON_0
at the store	店で				COMMON	Distractor Frequency	HIGH	at the store_COMMON_0
attack A with B	AをBで攻撃する				COMMON	Distractor Frequency	HIGH	attack a with b_COMMON_0
B after A	AのあとでB				COMMON	Distractor Frequency	HIGH	b after a_COMMON_0
B before A	Aの前にB				COMMON	Distractor Frequency	HIGH	b before a_COMMON_0
B during A	Aの間にB				COMMON	Distractor Frequency	HIGH	b during a_COMMON_0
B for A	AのためにB				COMMON	Distractor Frequency	HIGH	b for a_COMMON_0
babies	赤ちゃんたち				COMMON	Distractor Frequency	HIGH	babies_COMMON_0
balloon	風船				COMMON	Distractor Frequency	HIGH	balloon_COMMON_0
basketball game	バスケットボールの試合				COMMON	Distractor Frequency	HIGH	basketball game_COMMON_0
be absent from	〜を休む				COMMON	Manual Analysis	HIGH	be absent from_COMMON_0
be boring	おもしろくない				COMMON	Distractor Frequency	HIGH	be boring_COMMON_0
be busy	たいへんな				COMMON	Distractor Frequency	HIGH	be busy_COMMON_0
be careful	気をつけて				COMMON	Distractor Frequency	HIGH	be careful_COMMON_0
be careful with ~	～に気をつける				COMMON	Distractor Frequency	HIGH	be careful with ~_COMMON_0
Be careful.	気をつけて				COMMON	Distractor Frequency	HIGH	be careful._COMMON_0
be close to ~	～に近い				COMMON	Distractor Frequency	HIGH	be close to ~_COMMON_0
be connected to ~	〜につながっている				COMMON	Distractor Frequency	HIGH	be connected to ~_COMMON_0
be doing	今～している				COMMON	Distractor Frequency	HIGH	be doing_COMMON_0
be easy	やさしい				COMMON	Distractor Frequency	HIGH	be easy_COMMON_0
be far from ~	〜から離れている				COMMON	Manual Analysis	HIGH	be far from ~_COMMON_0
be going to do	～するつもりだ				COMMON	Distractor Frequency	HIGH	be going to do_COMMON_0
be hard	むずかしい				COMMON	Distractor Frequency	HIGH	be hard_COMMON_0
be hungry	おなかがすいている				COMMON	Manual Analysis	HIGH	be hungry_COMMON_0
be in a good mood	機嫌がよい				COMMON	Distractor Frequency	HIGH	be in a good mood_COMMON_0
be in a hurry	急いでいる				COMMON	Distractor Frequency	HIGH	be in a hurry_COMMON_0
be in front of ~	～の前にある				COMMON	Distractor Frequency	HIGH	be in front of ~_COMMON_0
be on time for	〜に間に合う				COMMON	Distractor Frequency	HIGH	be on time for_COMMON_0
be on time for ~	～に間に合う				COMMON	Distractor Frequency	HIGH	be on time for ~_COMMON_0
be ready	準備ができている				COMMON	Manual Analysis	HIGH	be ready_COMMON_0
be satisfied with ~	～に満足している				COMMON	Distractor Frequency	HIGH	be satisfied with ~_COMMON_0
be similar to ~	～に似ている				COMMON	Distractor Frequency	HIGH	be similar to ~_COMMON_0
be sure that ~	～ということを確信している				COMMON	Distractor Frequency	HIGH	be sure that ~_COMMON_0
be surrounded by ~	〜で囲まれている				COMMON	Distractor Frequency	HIGH	be surrounded by ~_COMMON_0
be the same as ~	～と同じである				COMMON	Distractor Frequency	HIGH	be the same as ~_COMMON_0
be tired	疲れている				COMMON	Distractor Frequency	HIGH	be tired_COMMON_0
be worried that ~	～ということを心配している				COMMON	Distractor Frequency	HIGH	be worried that ~_COMMON_0
beard	ひげ				COMMON	Distractor Frequency	HIGH	beard_COMMON_0
because ~	～なので				COMMON	Distractor Frequency	HIGH	because ~_COMMON_0
bee	はち				COMMON	Distractor Frequency	HIGH	bee_COMMON_0
before	〜の前に				COMMON	Distractor Frequency	HIGH	before_COMMON_0
before breakfast	朝食前に				COMMON	Distractor Frequency	HIGH	before breakfast_COMMON_0
before school	登校前に				COMMON	Distractor Frequency	HIGH	before school_COMMON_0
begin ~	～を始める				COMMON	Distractor Frequency	HIGH	begin ~_COMMON_0
behind ~	〜の後ろに				COMMON	Distractor Frequency	HIGH	behind ~_COMMON_0
behind the station	駅の後ろに				COMMON	Distractor Frequency	HIGH	behind the station_COMMON_0
behind you	あなたの後ろに				COMMON	Distractor Frequency	HIGH	behind you_COMMON_0
Beijing	北京				COMMON	Distractor Frequency	HIGH	beijing_COMMON_0
believe ~	～を信じる				COMMON	Distractor Frequency	HIGH	believe ~_COMMON_0
believe A	Aを信じる				COMMON	Distractor Frequency	HIGH	believe a_COMMON_0
below ~	～の下に				COMMON	Distractor Frequency	HIGH	below ~_COMMON_0
between ~	〜の間に				COMMON	Distractor Frequency	HIGH	between ~_COMMON_0
birdhouse	鳥小屋				COMMON	Distractor Frequency	HIGH	birdhouse_COMMON_0
body	体				COMMON	Distractor Frequency	HIGH	body_COMMON_0
bookshelf	本だな				COMMON	Distractor Frequency	HIGH	bookshelf_COMMON_0
boots	長靴				COMMON	Distractor Frequency	HIGH	boots_COMMON_0
borrow ~	～を借りる				COMMON	Distractor Frequency	HIGH	borrow ~_COMMON_0
borrow A	Aを借りる				COMMON	Distractor Frequency	HIGH	borrow a_COMMON_0
borrow B from A	AからBを借りる				COMMON	Manual Analysis	HIGH	borrow b from a_COMMON_0
borrow from ~	～から借りる				COMMON	Manual Analysis	HIGH	borrow from ~_COMMON_0
boss	上司				COMMON	Distractor Frequency	HIGH	boss_COMMON_0
bow	おじぎする				COMMON	Distractor Frequency	HIGH	bow_COMMON_0
bracelet	ブレスレット				COMMON	Distractor Frequency	HIGH	bracelet_COMMON_0
break ~	～を壊す				COMMON	Distractor Frequency	HIGH	break ~_COMMON_0
bring back ~	～を持ち帰る				COMMON	Distractor Frequency	HIGH	bring back ~_COMMON_0
brothers	兄弟				COMMON	Distractor Frequency	HIGH	brothers_COMMON_0
business card	名刺				COMMON	Distractor Frequency	HIGH	business card_COMMON_0
buy ~	買う				COMMON	Distractor Frequency	HIGH	buy ~_COMMON_0
by bike	自転車で				COMMON	Distractor Frequency	HIGH	by bike_COMMON_0
cabin	小屋				COMMON	Distractor Frequency	HIGH	cabin_COMMON_0
call ~	～を呼ぶ				COMMON	Distractor Frequency	HIGH	call ~_COMMON_0
call ~ up	〜を呼び出す				COMMON	Distractor Frequency	HIGH	call ~ up_COMMON_0
can do	～できる				COMMON	Distractor Frequency	HIGH	can do_COMMON_0
Can I have the bill?	お会計をお願いします				COMMON	Distractor Frequency	HIGH	can i have the bill?_COMMON_0
Can I walk to the station?	駅まで歩けますか				COMMON	Distractor Frequency	HIGH	can i walk to the station?_COMMON_0
Can we ~?	〜できますか				COMMON	Distractor Frequency	HIGH	can we ~?_COMMON_0
Can you ~?	～できますか				COMMON	Distractor Frequency	HIGH	can you ~?_COMMON_0
Can you call me?	待ってくれますか				COMMON	Distractor Frequency	HIGH	can you call me?_COMMON_0
Can you come here?	見てもいいですか				COMMON	Distractor Frequency	HIGH	can you come here?_COMMON_0
Can you come now?	今来られますか。				COMMON	Distractor Frequency	HIGH	can you come now?_COMMON_0
Can you eat?	食べられますか				COMMON	Distractor Frequency	HIGH	can you eat?_COMMON_0
Can you go now?	今行けますか。				COMMON	Distractor Frequency	HIGH	can you go now?_COMMON_0
Can you hear now?	今聞こえますか。				COMMON	Distractor Frequency	HIGH	can you hear now?_COMMON_0
Can you see now?	今見えますか。				COMMON	Distractor Frequency	HIGH	can you see now?_COMMON_0
Can you see?	見えますか				COMMON	Distractor Frequency	HIGH	can you see?_COMMON_0
Can you show me?	来てくれますか				COMMON	Distractor Frequency	HIGH	can you show me?_COMMON_0
Can you speak?	話せますか				COMMON	Distractor Frequency	HIGH	can you speak?_COMMON_0
Can you wait for me?	座ってもいいですか				COMMON	Distractor Frequency	HIGH	can you wait for me?_COMMON_0
candle	ろうそく				COMMON	Distractor Frequency	HIGH	candle_COMMON_0
carry ~	～を運ぶ				COMMON	Distractor Frequency	HIGH	carry ~_COMMON_0
carry A	Aを運ぶ				COMMON	Distractor Frequency	HIGH	carry a_COMMON_0
change ~	～を変える				COMMON	Distractor Frequency	HIGH	change ~_COMMON_0
change A into B	AをBに変える				COMMON	Distractor Frequency	HIGH	change a into b_COMMON_0
check ~	～を調べる				COMMON	Distractor Frequency	HIGH	check ~_COMMON_0
cheerful	元気な				COMMON	Distractor Frequency	HIGH	cheerful_COMMON_0
chest	胸				COMMON	Distractor Frequency	HIGH	chest_COMMON_0
choose ~	～を選ぶ				COMMON	Distractor Frequency	HIGH	choose ~_COMMON_0
choose A	Aを選ぶ				COMMON	Distractor Frequency	HIGH	choose a_COMMON_0
choose A and B	AとBを選ぶ				COMMON	Distractor Frequency	HIGH	choose a and b_COMMON_0
clean ~ up	〜を片づける				COMMON	Distractor Frequency	HIGH	clean ~ up_COMMON_0
clean up ~	～を片づける				COMMON	Distractor Frequency	HIGH	clean up ~_COMMON_0
clock shop	時計店				COMMON	Distractor Frequency	HIGH	clock shop_COMMON_0
close ~	～を閉める				COMMON	Distractor Frequency	HIGH	close ~_COMMON_0
closed	閉じている				COMMON	Distractor Frequency	HIGH	closed_COMMON_0
clothing	衣類				COMMON	Distractor Frequency	HIGH	clothing_COMMON_0
collect ~	～を集める				COMMON	Distractor Frequency	HIGH	collect ~_COMMON_0
collect A	Aを集める				COMMON	Distractor Frequency	HIGH	collect a_COMMON_0
collect B from A	AからBを集める				COMMON	Manual Analysis	HIGH	collect b from a_COMMON_0
color of ~	～の色				COMMON	Distractor Frequency	HIGH	color of ~_COMMON_0
comb my hair	髪をとかす				COMMON	Distractor Frequency	HIGH	comb my hair_COMMON_0
come and see	会いに行く				COMMON	Distractor Frequency	HIGH	come and see_COMMON_0
Come in.	入ってください				COMMON	Distractor Frequency	HIGH	come in._COMMON_0
company	会社				COMMON	Distractor Frequency	HIGH	company_COMMON_0
compare ~	～を比べる				COMMON	Distractor Frequency	HIGH	compare ~_COMMON_0
compare with ~	～と比べる				COMMON	Distractor Frequency	HIGH	compare with ~_COMMON_0
continue ~	～を続ける				COMMON	Distractor Frequency	HIGH	continue ~_COMMON_0
cook dinner	料理をする				COMMON	Distractor Frequency	HIGH	cook dinner_COMMON_0
cooking	料理				COMMON	Distractor Frequency	HIGH	cooking_COMMON_0
count ~	～を数える				COMMON	Distractor Frequency	HIGH	count ~_COMMON_0
count A	Aを数える				COMMON	Distractor Frequency	HIGH	count a_COMMON_0
crab	カニ				COMMON	Distractor Frequency	HIGH	crab_COMMON_0
crocodile	わに				COMMON	Distractor Frequency	HIGH	crocodile_COMMON_0
crosswalk	横断歩道				COMMON	Distractor Frequency	HIGH	crosswalk_COMMON_0
cut ~	～を切る				COMMON	Distractor Frequency	HIGH	cut ~_COMMON_0
dancing	ダンス				COMMON	Distractor Frequency	HIGH	dancing_COMMON_0
decide to do	～することを決める				COMMON	Distractor Frequency	HIGH	decide to do_COMMON_0
deer	シカ				COMMON	Distractor Frequency	HIGH	deer_COMMON_0
dishes	食器				COMMON	Distractor Frequency	HIGH	dishes_COMMON_0
divide A by B	AをBで割る				COMMON	Distractor Frequency	HIGH	divide a by b_COMMON_0
do my homework	宿題をする				COMMON	Distractor Frequency	HIGH	do my homework_COMMON_0
do not want ~	～したくない				COMMON	Distractor Frequency	HIGH	do not want ~_COMMON_0
Do we want to ~?	〜したいですか				COMMON	Distractor Frequency	HIGH	do we want to ~?_COMMON_0
Do you know?	知っていますか				COMMON	Distractor Frequency	HIGH	do you know?_COMMON_0
Do you like school?	学校は好きですか				COMMON	Distractor Frequency	HIGH	do you like school?_COMMON_0
does	〜する				COMMON	Distractor Frequency	HIGH	does_COMMON_0
doubt ~	～を疑う				COMMON	Distractor Frequency	HIGH	doubt ~_COMMON_0
downtown	町の中心へ				COMMON	Distractor Frequency	HIGH	downtown_COMMON_0
Dr.	～先生				COMMON	Distractor Frequency	HIGH	dr._COMMON_0
dragonfly	とんぼ				COMMON	Distractor Frequency	HIGH	dragonfly_COMMON_0
draw a picture	絵をかく				COMMON	Distractor Frequency	HIGH	draw a picture_COMMON_0
drawing	絵				COMMON	Distractor Frequency	HIGH	drawing_COMMON_0
drink menu	飲み物メニュー				COMMON	Manual Analysis	HIGH	drink menu_COMMON_0
drive to ~	～まで車で行く				COMMON	Distractor Frequency	HIGH	drive to ~_COMMON_0
during	～の間に				COMMON	Distractor Frequency	HIGH	during_COMMON_0
each ~	それぞれの				COMMON	Distractor Frequency	HIGH	each ~_COMMON_0
eagle	わし				COMMON	Distractor Frequency	HIGH	eagle_COMMON_0
ears	耳				COMMON	Distractor Frequency	HIGH	ears_COMMON_0
eat breakfast	朝ごはんを食べる				COMMON	Distractor Frequency	HIGH	eat breakfast_COMMON_0
eight o'clock	8時				COMMON	Distractor Frequency	HIGH	eight o'clock_COMMON_0
either ~	どちらかの				COMMON	Distractor Frequency	HIGH	either ~_COMMON_0
either A or B	AかBのどちらか				COMMON	Distractor Frequency	HIGH	either a or b_COMMON_0
elbow	ひじ				COMMON	Distractor Frequency	HIGH	elbow_COMMON_0
Emi	エミ				COMMON	Distractor Frequency	HIGH	emi_COMMON_0
England	イギリス				COMMON	Distractor Frequency	HIGH	england_COMMON_0
English class	英語の授業				COMMON	Distractor Frequency	HIGH	english class_COMMON_0
English lesson	英語の授業				COMMON	Distractor Frequency	HIGH	english lesson_COMMON_0
enjoy ~	～を楽しむ				COMMON	Distractor Frequency	HIGH	enjoy ~_COMMON_0
enter	入る				COMMON	Distractor Frequency	HIGH	enter_COMMON_0
enter ~	～に入る				COMMON	Distractor Frequency	HIGH	enter ~_COMMON_0
erase ~	消す				COMMON	Distractor Frequency	HIGH	erase ~_COMMON_0
escape from ~	～から逃げる				COMMON	Manual Analysis	HIGH	escape from ~_COMMON_0
euro	ユーロ				COMMON	Distractor Frequency	HIGH	euro_COMMON_0
every month	毎月				COMMON	Distractor Frequency	HIGH	every month_COMMON_0
every morning	毎朝				COMMON	Distractor Frequency	HIGH	every morning_COMMON_0
every night	毎晩				COMMON	Distractor Frequency	HIGH	every night_COMMON_0
every week	毎週				COMMON	Distractor Frequency	HIGH	every week_COMMON_0
Excuse me.	すみません				COMMON	Distractor Frequency	HIGH	excuse me._COMMON_0
explain ~	～を説明する				COMMON	Distractor Frequency	HIGH	explain ~_COMMON_0
explain A to B	AをBに説明する				COMMON	Distractor Frequency	HIGH	explain a to b_COMMON_0
explain B to A	Aに説明する				COMMON	Distractor Frequency	HIGH	explain b to a_COMMON_0
eyes	目				COMMON	Distractor Frequency	HIGH	eyes_COMMON_0
false	うその				COMMON	Distractor Frequency	HIGH	false_COMMON_0
fancy	派手な				COMMON	Distractor Frequency	HIGH	fancy_COMMON_0
far from	～から遠くに				COMMON	Manual Analysis	HIGH	far from_COMMON_0
faster	より速く				COMMON	Distractor Frequency	HIGH	faster_COMMON_0
fastest	最も速い				COMMON	Distractor Frequency	HIGH	fastest_COMMON_0
feel fine	元気です				COMMON	Distractor Frequency	HIGH	feel fine_COMMON_0
feel like ~	～のように感じる				COMMON	Distractor Frequency	HIGH	feel like ~_COMMON_0
feel sick	気分が悪い				COMMON	Distractor Frequency	HIGH	feel sick_COMMON_0
feel worse	気分が悪くなる				COMMON	Distractor Frequency	HIGH	feel worse_COMMON_0
few ~	ほとんどない				COMMON	Distractor Frequency	HIGH	few ~_COMMON_0
fifteen minutes	15分間				COMMON	Distractor Frequency	HIGH	fifteen minutes_COMMON_0
fight with ~	～とけんかする				COMMON	Distractor Frequency	HIGH	fight with ~_COMMON_0
find ~	～を見つける				COMMON	Distractor Frequency	HIGH	find ~_COMMON_0
finish ~	～を終える				COMMON	Distractor Frequency	HIGH	finish ~_COMMON_0
fix ~	直す				COMMON	Distractor Frequency	HIGH	fix ~_COMMON_0
fix A	Aを直す				COMMON	Distractor Frequency	HIGH	fix a_COMMON_0
flag	旗				COMMON	Distractor Frequency	HIGH	flag_COMMON_0
flashy	派手な				COMMON	Distractor Frequency	HIGH	flashy_COMMON_0
florist	花屋				COMMON	Distractor Frequency	HIGH	florist_COMMON_0
fly to ~	～まで飛んで行く				COMMON	Distractor Frequency	HIGH	fly to ~_COMMON_0
fog	霧				COMMON	Distractor Frequency	HIGH	fog_COMMON_0
for ~	～のために				COMMON	Distractor Frequency	HIGH	for ~_COMMON_0
for now	今のところ				COMMON	Distractor Frequency	HIGH	for now_COMMON_0
forget ~	～を忘れる				COMMON	Distractor Frequency	HIGH	forget ~_COMMON_0
forget that ~	～ということを忘れている				COMMON	Distractor Frequency	HIGH	forget that ~_COMMON_0
forget to do	〜するのを忘れる				COMMON	Distractor Frequency	HIGH	forget to do_COMMON_0
forgive	許す				COMMON	Distractor Frequency	HIGH	forgive_COMMON_0
forgive A	Aを許す				COMMON	Distractor Frequency	HIGH	forgive a_COMMON_0
forty	40				COMMON	Distractor Frequency	HIGH	forty_COMMON_0
four o'clock	4時				COMMON	Distractor Frequency	HIGH	four o'clock_COMMON_0
France	フランス				COMMON	Distractor Frequency	HIGH	france_COMMON_0
freezing	寒い				COMMON	Distractor Frequency	HIGH	freezing_COMMON_0
friends	友だち				COMMON	Distractor Frequency	HIGH	friends_COMMON_0
frog	かえる				COMMON	Distractor Frequency	HIGH	frog_COMMON_0
from ~	〜から				COMMON	Manual Analysis	HIGH	from ~_COMMON_0
futon	シーツ				COMMON	Distractor Frequency	HIGH	futon_COMMON_0
gallery	美術館				COMMON	Distractor Frequency	HIGH	gallery_COMMON_0
gather ~	集まる				COMMON	Distractor Frequency	HIGH	gather ~_COMMON_0
get dressed	服を着る				COMMON	Distractor Frequency	HIGH	get dressed_COMMON_0
get out of	～から出る				COMMON	Distractor Frequency	HIGH	get out of_COMMON_0
get sleepy	眠くなる				COMMON	Manual Analysis	HIGH	get sleepy_COMMON_0
get tired	疲れる				COMMON	Distractor Frequency	HIGH	get tired_COMMON_0
get up early	早く起きる				COMMON	Distractor Frequency	HIGH	get up early_COMMON_0
give ~ up	〜をあきらめる				COMMON	Distractor Frequency	HIGH	give ~ up_COMMON_0
give A B	AにBを渡す				COMMON	Distractor Frequency	HIGH	give a b_COMMON_0
give up ~	～をあきらめる				COMMON	Distractor Frequency	HIGH	give up ~_COMMON_0
gloves	手袋				COMMON	Distractor Frequency	HIGH	gloves_COMMON_0
go for a walk	散歩に行く				COMMON	Distractor Frequency	HIGH	go for a walk_COMMON_0
go past ~	～のそばを通る				COMMON	Distractor Frequency	HIGH	go past ~_COMMON_0
go running	走りに行く				COMMON	Distractor Frequency	HIGH	go running_COMMON_0
go swimming	泳ぎに行く				COMMON	Distractor Frequency	HIGH	go swimming_COMMON_0
go to	〜へ行く				COMMON	Distractor Frequency	HIGH	go to_COMMON_0
go walking	散歩に行く				COMMON	Distractor Frequency	HIGH	go walking_COMMON_0
goat	やぎ				COMMON	Distractor Frequency	HIGH	goat_COMMON_0
Good evening.	こんばんは。				COMMON	Distractor Frequency	HIGH	good evening._COMMON_0
Good luck!	がんばってください				COMMON	Distractor Frequency	HIGH	good luck!_COMMON_0
Good luck.	がんばってね				COMMON	Distractor Frequency	HIGH	good luck._COMMON_0
Good morning.	おはようございます				COMMON	Distractor Frequency	HIGH	good morning._COMMON_0
Good night.	おやすみ				COMMON	Distractor Frequency	HIGH	good night._COMMON_0
Goodbye.	さようなら				COMMON	Distractor Frequency	HIGH	goodbye._COMMON_0
grandma	おばあさん				COMMON	Distractor Frequency	HIGH	grandma_COMMON_0
green tea	緑茶				COMMON	Distractor Frequency	HIGH	green tea_COMMON_0
greet ~	～にあいさつする				COMMON	Distractor Frequency	HIGH	greet ~_COMMON_0
grow into ~	～に成長する				COMMON	Distractor Frequency	HIGH	grow into ~_COMMON_0
guide	案内人				COMMON	Distractor Frequency	HIGH	guide_COMMON_0
gum	歯ぐき				COMMON	Distractor Frequency	HIGH	gum_COMMON_0
half of ~	半分				COMMON	Distractor Frequency	HIGH	half of ~_COMMON_0
hang up	電話を切る				COMMON	Distractor Frequency	HIGH	hang up_COMMON_0
have a fever	頭が痛い				COMMON	Distractor Frequency	HIGH	have a fever_COMMON_0
Have a good rest.	ゆっくり休んでね				COMMON	Distractor Frequency	HIGH	have a good rest._COMMON_0
have a headache	熱がある				COMMON	Distractor Frequency	HIGH	have a headache_COMMON_0
Have a nice day.	よい一日を				COMMON	Distractor Frequency	HIGH	have a nice day._COMMON_0
have breakfast	朝食を食べる				COMMON	Distractor Frequency	HIGH	have breakfast_COMMON_0
have lunch	昼食を食べる				COMMON	Distractor Frequency	HIGH	have lunch_COMMON_0
have no time	時間がない				COMMON	Distractor Frequency	HIGH	have no time_COMMON_0
have to	〜しなければならない				COMMON	Distractor Frequency	HIGH	have to_COMMON_0
He does too.	彼も				COMMON	Distractor Frequency	HIGH	he does too._COMMON_0
heat	熱				COMMON	Distractor Frequency	HIGH	heat_COMMON_0
he'll	彼は〜でしょう				COMMON	Distractor Frequency	HIGH	he'll_COMMON_0
Hello.	こんにちは				COMMON	Distractor Frequency	HIGH	hello._COMMON_0
help ~	～を手伝う				COMMON	Distractor Frequency	HIGH	help ~_COMMON_0
help A	Aを助ける				COMMON	Distractor Frequency	HIGH	help a_COMMON_0
help A do	Aが～するのを手伝う				COMMON	Distractor Frequency	HIGH	help a do_COMMON_0
help A with B	AがBを手伝う				COMMON	Distractor Frequency	HIGH	help a with b_COMMON_0
Help me.	手伝って。				COMMON	Distractor Frequency	HIGH	help me._COMMON_0
her	彼女の				COMMON	Distractor Frequency	HIGH	her_COMMON_0
here's	〜がほしい				COMMON	Distractor Frequency	HIGH	here's_COMMON_0
hers	彼女のもの				COMMON	Distractor Frequency	HIGH	hers_COMMON_0
herself	彼女自身				COMMON	Distractor Frequency	HIGH	herself_COMMON_0
he's	彼は〜です				COMMON	Distractor Frequency	HIGH	he's_COMMON_0
hide ~	～を隠す				COMMON	Distractor Frequency	HIGH	hide ~_COMMON_0
higher	より高く				COMMON	Distractor Frequency	HIGH	higher_COMMON_0
