"English","Japanese","AllMeanings"
"business card","名刺","名刺(1)"
"buy ~","買う","買う(1)"
"by bike","自転車で","自転車で(4)"
"cabin","小屋","小屋(1)"
"call ~","～を呼ぶ","～を呼ぶ(3), ～に電話する(3), ～を呼び出す(1), 〜を呼ぶ(1)"
"call ~ up","〜を呼び出す","〜を呼び出す(1)"
"can do","～できる","～できる(2), ～することができる(1), 〜することができる(1)"
"Can I have the bill?","お会計をお願いします","お会計をお願いします(1)"
"Can I walk to the station?","駅まで歩けますか","駅まで歩けますか(1)"
"Can we ~?","〜できますか","〜できますか(1)"
"Can you ~?","～できますか","～できますか(1)"
"Can you call me?","待ってくれますか","待ってくれますか(1)"
"Can you come here?","見てもいいですか","見てもいいですか(1)"
"Can you come now?","今来られますか。","今来られますか。(1)"
"Can you eat?","食べられますか","食べられますか(1)"
"Can you go now?","今行けますか。","今行けますか。(1)"
"Can you hear now?","今聞こえますか。","今聞こえますか。(1)"
"Can you see now?","今見えますか。","今見えますか。(1)"
"Can you see?","見えますか","見えますか(1)"
"Can you show me?","来てくれますか","来てくれますか(1)"
"Can you speak?","話せますか","話せますか(1)"
"Can you wait for me?","座ってもいいですか","座ってもいいですか(1)"
"candle","ろうそく","ろうそく(1)"
"carry ~","～を運ぶ","～を運ぶ(17), 運ぶ(5)"
"carry A","Aを運ぶ","Aを運ぶ(3)"
"change ~","～を変える","～を変える(1)"
"change A into B","AをBに変える","AをBに変える(4)"
"check ~","～を調べる","～を調べる(1)"
"cheerful","元気な","元気な(5), 有名な(1), 空腹の(1)"
"chest","胸","胸(1)"
"choose ~","～を選ぶ","～を選ぶ(27), 選ぶ(2)"
"choose A","Aを選ぶ","Aを選ぶ(5)"
"choose A and B","AとBを選ぶ","AとBを選ぶ(1)"
"clean ~ up","〜を片づける","〜を片づける(1), 片づける(1), ～を片づける(1)"
"clean up ~","～を片づける","～を片づける(1)"
"clock shop","時計店","時計店(1)"
"close ~","～を閉める","～を閉める(2), 閉める(2)"
"closed","閉じている","閉じている(1)"
"clothing","衣類","衣類(3)"
"collect ~","～を集める","～を集める(12), 集める(1)"
"collect A","Aを集める","Aを集める(2)"
"collect B from A","AからBを集める","AからBを集める(1)"
"color of ~","～の色","～の色(1)"
"comb my hair","髪をとかす","髪をとかす(1)"
"come and see","会いに行く","会いに行く(1)"
"Come in.","入ってください","入ってください(3)"
"company","会社","会社(3)"
"compare ~","～を比べる","～を比べる(3), ～と比べる(2)"
"compare with ~","～と比べる","～と比べる(2)"
"continue ~","～を続ける","～を続ける(3)"
"cook dinner","料理をする","料理をする(1)"
"cooking","料理","料理(6)"
"count ~","～を数える","～を数える(3), 数える(1)"
"count A","Aを数える","Aを数える(2)"
"crab","カニ","カニ(2)"
"crocodile","わに","わに(1)"
"crosswalk","横断歩道","横断歩道(1)"
"cut ~","～を切る","～を切る(1)"
"dancing","ダンス","ダンス(1)"
"decide to do","～することを決める","～することを決める(2)"
"deer","シカ","シカ(1), しか(1)"
"dishes","食器","食器(2)"
"divide A by B","AをBで割る","AをBで割る(2)"
"do my homework","宿題をする","宿題をする(1)"
"do not want ~","～したくない","～したくない(1)"
"Do we want to ~?","〜したいですか","〜したいですか(1)"
"Do you know?","知っていますか","知っていますか(1)"
"Do you like school?","学校は好きですか","学校は好きですか(1)"
"does","〜する","〜する(1)"
"doubt ~","～を疑う","～を疑う(1)"
"downtown","町の中心へ","町の中心へ(1)"
"Dr.","～先生","～先生(1)"
"dragonfly","とんぼ","とんぼ(1)"
"draw a picture","絵をかく","絵をかく(1)"
"drawing","絵","絵(2)"
"drink menu","飲み物メニュー","飲み物メニュー(1)"
"drive to ~","～まで車で行く","～まで車で行く(1)"
"during","～の間に","～の間に(1)"
"each ~","それぞれの","それぞれの(1)"
"eagle","わし","わし(1)"
"ears","耳","耳(1)"
"eat breakfast","朝ごはんを食べる","朝ごはんを食べる(4)"
"eight o'clock","8時","8時(1)"
"either ~","どちらかの","どちらかの(1)"
"either A or B","AかBのどちらか","AかBのどちらか(1)"
"elbow","ひじ","ひじ(3)"
"Emi","エミ","エミ(1)"
"England","イギリス","イギリス(1)"
"English class","英語の授業","英語の授業(1)"
"English lesson","英語の授業","英語の授業(1)"
"enjoy ~","～を楽しむ","～を楽しむ(1)"
"enter","入る","入る(2), 入学する(1)"
"enter ~","～に入る","～に入る(1)"
"erase ~","消す","消す(1)"
"escape from ~","～から逃げる","～から逃げる(1)"
"euro","ユーロ","ユーロ(4)"
"every month","毎月","毎月(5)"
"every morning","毎朝","毎朝(3)"
"every night","毎晩","毎晩(1)"
"every week","毎週","毎週(5)"
"Excuse me.","すみません","すみません(2), すみません。(1)"
"explain ~","～を説明する","～を説明する(11)"
"explain A to B","AをBに説明する","AをBに説明する(1)"
"explain B to A","Aに説明する","Aに説明する(1), AにBを説明する(1)"
"eyes","目","目(1)"
"false","うその","うその(1)"
"fancy","派手な","派手な(1)"
"far from","～から遠くに","～から遠くに(1)"
"faster","より速く","より速く(1), もっと速く(1), より速い(1)"
"fastest","最も速い","最も速い(1)"
"feel fine","元気です","元気です(1)"
"feel like ~","～のように感じる","～のように感じる(1)"
"feel sick","気分が悪い","気分が悪い(1)"
"feel worse","気分が悪くなる","気分が悪くなる(1)"
"few ~","ほとんどない","ほとんどない(1), ほとんどない～(1)"
"fifteen minutes","15分間","15分間(1)"
"fight with ~","～とけんかする","～とけんかする(1)"
"find ~","～を見つける","～を見つける(5), 見つける(2)"
"finish ~","～を終える","～を終える(3)"
"fix ~","直す","直す(1)"
"fix A","Aを直す","Aを直す(1)"
"flag","旗","旗(2)"
"flashy","派手な","派手な(1)"
"florist","花屋","花屋(3)"
"fly to ~","～まで飛んで行く","～まで飛んで行く(1)"
"fog","霧","霧(4)"
"for ~","～のために","～のために(2)"
"for now","今のところ","今のところ(1)"
"forget ~","～を忘れる","～を忘れる(2), 忘れる(1)"
"forget that ~","～ということを忘れている","～ということを忘れている(1)"
"forget to do","〜するのを忘れる","〜するのを忘れる(4), ～するのを忘れる(1), 〜し忘れる(1)"
"forgive","許す","許す(1)"
"forgive A","Aを許す","Aを許す(1)"
"forty","40","40(2)"
"four o'clock","4時","4時(1)"
"France","フランス","フランス(1)"
"freezing","寒い","寒い(1)"
"friends","友だち","友だち(1)"
"frog","かえる","かえる(2)"
"from ~","〜から","〜から(4)"
"futon","シーツ","シーツ(1)"
"gallery","美術館","美術館(1)"
"gather ~","集まる","集まる(1)"
"get dressed","服を着る","服を着る(2)"
"get out of","～から出る","～から出る(1)"
"get sleepy","眠くなる","眠くなる(1)"
"get tired","疲れる","疲れる(1)"
"get up early","早く起きる","早く起きる(2), 早起きする(1)"
"give ~ up","〜をあきらめる","〜をあきらめる(1)"
"give A B","AにBを渡す","AにBを渡す(2)"
"give up ~","～をあきらめる","～をあきらめる(3), あきらめる(2)"
"gloves","手袋","手袋(9), てぶくろ(2)"
"go for a walk","散歩に行く","散歩に行く(1)"
"go past ~","～のそばを通る","～のそばを通る(1)"
"go running","走りに行く","走りに行く(4)"
"go swimming","泳ぎに行く","泳ぎに行く(4)"
"go to","〜へ行く","〜へ行く(1)"
"go walking","散歩に行く","散歩に行く(2)"
"goat","やぎ","やぎ(2), 山羊(1)"
"Good evening.","こんばんは。","こんばんは。(1)"
"Good luck!","がんばってください","がんばってください(1)"
"Good luck.","がんばってね","がんばってね(1)"
"Good morning.","おはようございます","おはようございます(3), おはよう(2), おはよう。(2)"
"Good night.","おやすみ","おやすみ(1), おやすみ。(1), おやすみなさい(1)"
"Goodbye.","さようなら","さようなら(6), さようなら。(2)"
"grandma","おばあさん","おばあさん(1)"
"green tea","緑茶","緑茶(1)"
"greet ~","～にあいさつする","～にあいさつする(1)"
"grow into ~","～に成長する","～に成長する(1)"
"guide","案内人","案内人(5), 案内(1), 案内する(1)"
"gum","歯ぐき","歯ぐき(1)"
"half of ~","半分","半分(1)"
"hang up","電話を切る","電話を切る(2)"
"have a fever","頭が痛い","頭が痛い(1), ねつがある(1)"
"Have a good rest.","ゆっくり休んでね","ゆっくり休んでね(1)"
"have a headache","熱がある","熱がある(1)"
"Have a nice day.","よい一日を","よい一日を(1)"
"have breakfast","朝食を食べる","朝食を食べる(1)"
"have lunch","昼食を食べる","昼食を食べる(1)"
"have no time","時間がない","時間がない(1)"
"have to","〜しなければならない","〜しなければならない(1)"
"He does too.","彼も","彼も(1)"
"heat","熱","熱(5), 光(1)"
"he'll","彼は〜でしょう","彼は〜でしょう(1)"
"Hello.","こんにちは","こんにちは(4), こんにちは。(2)"
"help ~","～を手伝う","～を手伝う(13), ～を助ける(4), 〜を手伝う(2), 手伝う(1)"
"help A","Aを助ける","Aを助ける(1), Aを手伝う(1)"
"help A do","Aが～するのを手伝う","Aが～するのを手伝う(1)"
"help A with B","AがBを手伝う","AがBを手伝う(1)"
"Help me.","手伝って。","手伝って。(1)"
"her","彼女の","彼女の(3), 彼女を(2)"
"here's","〜がほしい","〜がほしい(1)"
"hers","彼女のもの","彼女のもの(1)"
"herself","彼女自身","彼女自身(1)"
"he's","彼は〜です","彼は〜です(3)"
"hide ~","～を隠す","～を隠す(2)"
"higher","より高く","より高く(1), もっと高く(1), より高い(1)"
"highest","最も高い","最も高い(1)"
"him","彼を","彼を(2)"
"his","彼の","彼の(3), 彼のもの(1)"
"hit","たたく","たたく(1), 打つ(1)"
"hope that ~","～ということを望んでいる","～ということを望んでいる(1)"
"horn","角","角(3)"
"hot water","湯","湯(1)"
"How big is ~?","～はどのくらい大きいですか","～はどのくらい大きいですか(1)"
"How deep is ~?","～はどのくらい深いですか","～はどのくらい深いですか(1)"
"How heavy is ~?","～はどのくらい重いですか","～はどのくらい重いですか(2)"
"How high is ~?","～はどのくらい高いですか","～はどのくらい高いですか(2)"
"how many","いくつ","いくつ(2)"
"How many minutes to the station?","駅まで何分ですか","駅まで何分ですか(1)"
"How many people?","何名様ですか","何名様ですか(1)"
"how much","いくら","いくら(2)"
"How much is it?","いくらですか？","いくらですか？(1)"
"How much is that one?","あれはいくらですか","あれはいくらですか(1)"
"How much is this?","これはいくらですか","これはいくらですか(1)"
"How much will you pay?","いくら払いますか？","いくら払いますか？(1)"
"How old are you?","何歳ですか","何歳ですか(3), あなたは何歳ですか(1)"
"How shall we go home?","どうやって帰りましょうか","どうやって帰りましょうか(1)"
"hundred thousand","10万","10万(1)"
"hurry ~","～を急がせる","～を急がせる(1)"
"Hurry up.","急いでください","急いでください(5), 急いで(3), 急いで。(1)"
"Hurry.","急いでください","急いでください(1), 急いで(1)"
"I am free now.","今はひまです","今はひまです(1)"
"I am going to ~.","〜するつもりです","〜するつもりです(1)"
"I am hungry.","おなかがすいています","おなかがすいています(1)"
"I am sorry.","すみません。","すみません。(1)"
"I came to see you.","あなたに会いに来ました","あなたに会いに来ました(1)"
"I can ~.","〜できます","〜できます(2), 〜することができる(1)"
"I don't know.","わかりません","わかりません(5), 知りません(1)"
"I feel very well.","とても元気です","とても元気です(1)"
"I go to ~.","〜へ行く","〜へ行く(1)"
"I have a new bag.","もう一度見せて","もう一度見せて(1)"
"I have to ~.","〜しなければならない","〜しなければならない(1)"
"I know ~.","〜を知っている","〜を知っている(1)"
"I like ~.","～が好きです","～が好きです(1), 〜が好き(1)"
"I love it.","それが大好きです","それが大好きです(1)"
"I must ~.","～しなければならない","～しなければならない(1), 〜しなければなりません(1)"
"I must not ~.","〜してはいけない","〜してはいけない(1)"
"I want ~.","〜がほしい","〜がほしい(1)"
"I want to ~.","〜したいです","〜したいです(1)"
"I want to go to the station.","駅に行きたいです","駅に行きたいです(1)"
"I was ~.","～していました","～していました(1)"
"I will ~.","〜するつもりです","〜するつもりです(2)"
"I will call later.","あとで電話します","あとで電話します(1)"
"I will go soon.","すぐに行きます","すぐに行きます(1)"
"I'll","私は〜するつもりです","私は〜するつもりです(1)"
"I'll call back later.","少々失礼します","少々失礼します(1)"
"I'll help you.","手伝います","手伝います(1)"
"I'll visit you.","会いに行きます","会いに行きます(1)"
"I'll wait for you.","待ちます","待ちます(1)"
"I'll write to you.","手紙を書きます","手紙を書きます(1)"
"I'm","私は〜です","私は〜です(4)"
"I'm angry.","私は怒っています","私は怒っています(1)"
"I'm busy.","急いでいます","急いでいます(1), 私は忙しいです(1)"
"I'm coming here.","ここに来るところです","ここに来るところです(1)"
"I'm fine.","私は元気です","私は元気です(1)"
"I'm glad to see you again.","また会えてうれしいです","また会えてうれしいです(1)"
"I'm going out.","外出するところです","外出するところです(1)"
"I'm going to bed.","寝るところです","寝るところです(1)"
"I'm going to school.","学校へ行くところです","学校へ行くところです(1)"
"I'm happy to help you.","お手伝いできてうれしいです","お手伝いできてうれしいです(1)"
"I'm happy to talk with you.","お話しできてうれしいです","お話しできてうれしいです(1)"
"I'm happy.","私はうれしいです","私はうれしいです(1)"
"I'm hungry.","おなかがすいています","おなかがすいています(1)"
"I'm sleepy.","私は眠いです","私は眠いです(1)"
"I'm tired.","疲れています","疲れています(1), 私は疲れています(1)"
"I'm worried.","心配しています","心配しています(1), 私は心配しています(1)"
"in ~","〜の中に","〜の中に(2), ～の中に(2), ～の中で(1)"
"in front of","〜の前に","〜の前に(2), 前に(1)"
"in front of the school","学校の前に","学校の前に(1)"
"in Japan","国内で","国内で(1)"
"in the afternoon","午後に","午後に(1)"
"in the evening","夕方に","夕方に(1)"
"in the house","家の中で","家の中で(1)"
"in the middle of ~","〜の途中で","〜の途中で(1)"
"in the store","店で","店で(1)"
"index finger","人さし指","人さし指(1)"
"injection","注射","注射(2)"
"inside","中で","中で(2), 中へ、中で(2), どこに、どこで(1), 中(1), 中へ(1), 中に(1), 家の中に(1), 内部(1)"
"inside ~","〜の中に","〜の中に(1)"
"introduce ~","～を紹介する","～を紹介する(1)"
"invite","招待する","招待する(7), 招く(2)"
"invite ~","～を招待する","～を招待する(5), ～を招く(3)"
"invite A","Aを招待する","Aを招待する(2), Aを招く(1)"
"Is it cold outside?","外は寒いですか。","外は寒いですか。(1)"
"Is it dark outside?","外は暗いですか。","外は暗いですか。(1)"
"Is it quiet outside?","外は静かですか。","外は静かですか。(1)"
"Is it sunny outside?","外は晴れですか。","外は晴れですか。(1)"
"Is that true?","本当ですか","本当ですか(1)"
"Is the station near here?","駅は近いですか","駅は近いですか(1)"
"Is this seat free?","席は空いていますか","席は空いていますか(1)"
"Is this station new?","この駅は新しいですか","この駅は新しいですか(1)"
"It is hot today.","今日は暑いです","今日は暑いです(1)"
"It is interesting.","それはおもしろいです","それはおもしろいです(1)"
"It looks difficult.","難しそうです","難しそうです(2)"
"It looks expensive.","高そうです","高そうです(1)"
"It looks interesting.","おもしろそうです","おもしろそうです(1)"
"It looks new.","新しそうです","新しそうです(1)"
"It was rainy yesterday.","昨日は雨でした","昨日は雨でした(1)"
"It will be sunny tomorrow.","明日は晴れです","明日は晴れです(1)"
"Italian","イタリア語","イタリア語(1)"
"It's OK.","大丈夫です","大丈夫です(1)"
"jaw","あご","あご(1)"
"join ~","～に参加する","～に参加する(2)"
"keep doing","〜し続ける","〜し続ける(5)"
"Ken","ケン","ケン(1)"
"keyboard","鍵盤","鍵盤(1)"
"kilo","キロ","キロ(1)"
"kindergarten","幼稚園","幼稚園(2)"
"kitten","子猫","子猫(1)"
"knight","騎士","騎士(2)"
"knock","たたく","たたく(1)"
"know ~","～を知っている","～を知っている(3), 〜を知っている(1)"
"know about ~","〜を知っている","〜を知っている(1)"
"Kobe","神戸","神戸(2)"
"Korea","韓国","韓国(4)"
"last month","先月","先月(3)"
"leave ~","～を出発する","～を出発する(5), ～から去る(1), ～から出発する(1), 出発する(1), ～を離れる(1), 〜を出る(1), ～を出る(1)"
"leave there","そこを出る","そこを出る(1)"
"lemon","レモン","レモン(1)"
"lend A B","AにBを貸す","AにBを貸す(3)"
"Let's play after school.","今日はとても暑い","今日はとても暑い(1)"
"lid","ふた","ふた(1)"
"lift ~","～を持ち上げる","～を持ち上げる(1)"
"like ~","～が好きである","～が好きである(2), ～が好きだ(1)"
"lily","ユリ","ユリ(2)"
"line ~ up","並べる","並べる(1)"
"lip","唇","唇(2)"
"listen to music","音楽を聞く","音楽を聞く(1)"
"liter","リットル","リットル(5)"
"little finger","小指","小指(1)"
"live in","〜に住んでいる","〜に住んでいる(1)"
"live there","そこに住む","そこに住む(1)"
"lively","にぎやかな","にぎやかな(1)"
"lizard","とかげ","とかげ(1)"
"long ago","昔","昔(1)"
"longer","より長い","より長い(1)"
"longest","最も長い","最も長い(1)"
"Look.","見て","見て(1)"
"lukewarm","ぬるい","ぬるい(1)"
"lunar","月の","月の(1)"
"made","作った","作った(1)"
"magic","魔法","魔法(1)"
"make ~","～を作る","～を作る(2), 作る(1), 〜を作る(1)"
"make a call","電話をかける","電話をかける(2)"
"make a promise","約束をする","約束をする(1)"
"make breakfast","朝ごはんを作る","朝ごはんを作る(2), 朝食を作る(1)"
"May I have some water?","お水をください","お水をください(1)"
"May I have your name?","お名前を伺ってもよいですか","お名前を伺ってもよいですか(1)"
"Maybe.","たぶんそうです","たぶんそうです(1), たぶん(1)"
"meet ~","～に会う","～に会う(4), 〜に会う(1)"
"memorize ~","覚える","覚える(1)"
"middle finger","中指","中指(1)"
"Mike","マイク","マイク(1)"
"mile","マイル","マイル(1)"
"millimeter","ミリメートル","ミリメートル(3)"
"miss ~","～を欠席する","～を欠席する(2)"
"mix A with B","AとBを混ぜる","AとBを混ぜる(1)"
"mom","お母さん","お母さん(1)"
"more ... than ~","…よりもっと～","…よりもっと～(1)"
"motorcycle","バイク","バイク(1)"
"move ~","～を動かす","～を動かす(2), 動かす(1)"
"Mr.","～氏、～さん（男性）","～氏、～さん（男性）(1), ～さん（男性）(1)"
"music lesson","音楽の授業","音楽の授業(1)"
"Must I ~?","〜しなければなりません","〜しなければなりません(1)"
"must not","〜してはいけない","〜してはいけない(2)"
"must not do","～してはいけない","～してはいけない(2)"
"Must we ~?","〜しなければなりませんか","〜しなければなりませんか(1)"
"myself","私自身","私自身(1)"
"Nagoya","名古屋","名古屋(1)"
"name of ~","～の名前","～の名前(1)"
"Nancy","ナンシー","ナンシー(1)"
"Nara","奈良","奈良(1)"
"near ~","〜の近くに","〜の近くに(7), ～の近くに(7), ～の近くで(1), ～の近く(1)"
"near you","近くに","近くに(2), あなたの近くに(1)"
"need ~","～を必要としている","～を必要としている(1), ～を必要とする(1), 〜が必要だ(1)"
"need help","手伝いが必要だ","手伝いが必要だ(1)"
"nephew","おい","おい(3)"
"net","ネット","ネット(2)"
"New Year's Day","お正月","お正月(1)"
"newest","最も新しい","最も新しい(1)"
"next year","来年","来年(2)"
"Nice to meet you.","はじめまして","はじめまして(3), はじめまして。(1)"
"Nice weather!","よい天気ですね","よい天気ですね(1)"
"niece","めい","めい(2)"
"no ~","まったくない～","まったくない～(1)"
"no one","だれも〜ない","だれも〜ない(1), だれも(1)"
"No way.","だめです","だめです(1)"
"nobody","だれも～ない","だれも～ない(1)"
"none","何もない","何もない(1)"
"noon","正午","正午(7), 昼(3)"
"not as ~ as ...","…ほど～でない","…ほど～でない(1)"
"not at all","まったく～ない","まったく～ない(2)"
"octopus","タコ","タコ(2), たこ(1)"
"Of course.","もちろんです","もちろんです(1), もちろん(1)"
"on ~","～の上に","～の上に(1), 〜の上に(1)"
"on Friday","金曜日に","金曜日に(1)"
"on Monday","月曜日に","月曜日に(2)"
"on Saturday","土曜日に","土曜日に(1)"
"on the last day","最終日に","最終日に(1)"
"on the road","道の上で","道の上で(1)"
"on Tuesday","火曜日に","火曜日に(1)"
"on Wednesday","水曜日に","水曜日に(1)"
"on weekdays","平日に","平日に(1)"
"once a day","1日に1回","1日に1回(1)"
"Once more.","もう一度","もう一度(1)"
"one item","一個","一個(1)"
"one of ~","ひとつ","ひとつ(1)"
"onto","〜の上に","〜の上に(1)"
"open","開ける","開ける(42), 開く(1), 開いている(1)"
"open ~","～を開ける","～を開ける(5), 開ける(4)"
"open A","Aを開ける","Aを開ける(1)"
"orange juice","オレンジジュース","オレンジジュース(2)"
"order","注文","注文(2)"
"order A to do","Aに～するよう命じる","Aに～するよう命じる(1)"
"outside ~","～の外に","～の外に(1)"
"over ~","～の上に","～の上に(1)"
"P.E. lesson","体育の授業","体育の授業(1)"
"p.m.","午後","午後(1)"
"painter","画家","画家(16)"
"pan","なべ","なべ(1)"
"Paris","パリ","パリ(4)"
"pass ~","～を通り過ぎる","～を通り過ぎる(3), 追い越す(1), ～を追い越す(1), ～を通る(1)"
"pass through ~","～を通る","～を通る(2)"
"past","過去","過去(1), 過去の(1)"
"pear","なし","なし(2)"
"pencil case","筆箱","筆箱(1)"
"peninsula","半島","半島(1)"
"phone number","電話番号","電話番号(1)"
"pick A up at B","AをBまで迎えに行く","AをBまで迎えに行く(1)"
"pick up","拾う","拾う(1)"
"pigeon","はと","はと(1)"
"plan ~","～を計画する","～を計画する(1)"
"play in the park","公園で遊ぶ","公園で遊ぶ(2)"
"play outside","外で遊んでいる","外で遊んでいる(2)"
"play soccer","サッカーをする","サッカーをする(1)"
"play tennis","テニスをする","テニスをする(1)"
"play with ~","～を見る","～を見る(1)"
"Please call back later.","後でかけ直してください","後でかけ直してください(1)"
"Please come here.","ここに来てください","ここに来てください(1)"
"Please help me.","手伝ってください","手伝ってください(1)"
"Please hold on.","少々お待ちください","少々お待ちください(1), お待ちください(1)"
"Please open the window.","今すぐ始めなさい","今すぐ始めなさい(1)"
"Please read the book.","本を読んでください","本を読んでください(1)"
"Please say it again.","もう一度言ってください","もう一度言ってください(1)"
"Please say that again.","もう一度言ってください","もう一度言ってください(1)"
"Please sit here.","ここにすわってください","ここにすわってください(1)"
"Please speak slowly.","ゆっくり話してください","ゆっくり話してください(1)"
"Please wait a minute.","少し待ってください","少し待ってください(1)"
"Please write your name.","名前を書いてください","名前を書いてください(1)"
"pony","子馬","子馬(1)"
"pound","ポンド","ポンド(4)"
"practice ~","～を練習する","～を練習する(6)"
