"no	grade	word	japanese	description	sentence	japanese_sentence	pos	difficulty	frequency	""[""""年"""",""""月"""",""""週"""",""""日"""",""""時間""""]""	""[""""year"""",""""month"""",""""week"""",""""day"""",""""hour""""]""	""[""""year"""",""""ear"""",""""near"""",""""dear"""",""""yard""""]""	[]	[]"
500011	5	in regard to	〜に関して	about a subject or matter	He spoke in regard to the new rule.	彼は新しい規則に関して話しました。	preposition	5	2	""[""""〜に関して"""",""""〜の前に"""",""""〜の後で"""",""""〜の代わりに"""",""""〜の間に""""]""	""[""""in regard to"""",""""before"""",""""after"""",""""instead of"""",""""during""""]""	""[""""in regard to"""",""""in a garden"""",""""in the car too"""",""""in return to"""",""""in the dark room""""]""	""[{""""word"""":""""about"""",""""note"""":""""より基本的な語""""},{""""word"""":""""concerning"""",""""note"""":""""ややかたい表現""""}]""	[]"
500012	5	take in	理解する	to understand something	It took me time to take in the news.	その知らせを理解するのに時間がかかった。	verb	5	3	""[""""理解する"""",""""拒否する"""",""""説明する"""",""""比較する"""",""""記録する""""]""	""[""""take in"""",""""put off"""",""""give up"""",""""look for"""",""""write down""""]""	""[""""take in"""",""""taking"""",""""taken"""",""""table"""",""""ticket""""]""	""[{""""word"""":""""understand"""",""""note"""":""""より基本的な語""""}]""	[]"
500013	5	face up to	立ち向かう	to accept and deal with something difficult	We must face up to the problem.	私たちはその問題に立ち向かわなければならない。	verb	5	2	""[""""立ち向かう"""",""""避ける"""",""""隠す"""",""""疑う"""",""""失う""""]""	""[""""face up to"""",""""run away from"""",""""hide"""",""""ignore"""",""""lose""""]""	""[""""face up to"""",""""wake up"""",""""make up"""",""""save"""",""""fast""""]""	""[{""""word"""":""""deal with"""",""""note"""":""""対処するという意味で近い""""}]""	""[{""""word"""":""""avoid"""",""""note"""":""""問題などを避ける""""}]"""
500014	5	tolerance	寛容	the ability to accept differences or difficult things	Tolerance is important in a diverse society.	多様な社会では寛容が大切です。	noun	5	2	""[""""寛容"""",""""勇気"""",""""責任"""",""""努力"""",""""誠実""""]""	""[""""tolerance"""",""""courage"""",""""duty"""",""""effort"""",""""honesty""""]""	""[""""tolerance"""",""""talent"""",""""tourist"""",""""terrace"""",""""balance""""]""	[]	""[{""""word"""":""""intolerance"""",""""note"""":""""寛容でないこと""""}]"""
500015	5	be open to	前向きである	to be willing to consider or accept something	She is open to new ideas.	彼女は新しい考えに前向きです。	adjective	5	3	""[""""前向きである"""",""""反対している"""",""""驚いている"""",""""満足している"""",""""心配している""""]""	""[""""be open to"""",""""be against"""",""""be surprised at"""",""""be satisfied with"""",""""be worried about""""]""	""[""""be open to"""",""""be honest with"""",""""be close to"""",""""be kind to"""",""""be ready for""""]""	""[{""""word"""":""""be willing to"""",""""note"""":""""〜する気がある""""},{""""word"""":""""be receptive to"""",""""note"""":""""ややかたい表現""""}]""	""[{""""word"""":""""be against"""",""""note"""":""""反対している""""}]"""
500016	5	successful	成功した	having good results	Her business became successful.	彼女の事業は成功しました。	adjective	4	4	""[""""成功した"""",""""有名な"""",""""忙しい"""",""""正直な"""",""""親切な""""]""	""[""""successful"""",""""famous"""",""""busy"""",""""honest"""",""""kind""""]""	""[""""successful"""",""""careful"""",""""helpful"""",""""peaceful"""",""""wonderful""""]""	""[{""""word"""":""""successful"""",""""note"""":""""基本語""""}]""	""[{""""word"""":""""unsuccessful"""",""""note"""":""""成功していない""""},{""""word"""":""""failed"""",""""note"""":""""結果が出なかった""""}]"""
500017	5	on behalf of	〜に代わって	as a representative of someone	I spoke on behalf of my team.	私はチームを代表して話しました。	preposition	5	3	""[""""〜に代わって"""",""""〜の前で"""",""""〜の近くで"""",""""〜のおかげで"""",""""〜と一緒に""""]""	""[""""on behalf of"""",""""in front of"""",""""close to"""",""""because of"""",""""along with""""]""	""[""""on behalf of"""",""""in back of"""",""""on top of"""",""""out of"""",""""ahead of""""]""	""[{""""word"""":""""for"""",""""note"""":""""文脈によっては近い意味""""}]""	[]"
500018	5	take action	行動を起こす	to do something to solve a problem	We must take action now.	私たちは今、行動を起こさなければならない。	verb	5	3	""[""""行動を起こす"""",""""計画を立てる"""",""""約束を守る"""",""""意見を変える"""",""""休みを取る""""]""	""[""""take action"""",""""make a plan"""",""""keep a promise"""",""""change an opinion"""",""""take a break""""]""	""[""""take action"""",""""take a chance"""",""""take a picture"""",""""take a lesson"""",""""take a train""""]""	""[{""""word"""":""""act"""",""""note"""":""""より短く基本的な語""""}]""	""[{""""word"""":""""wait"""",""""note"""":""""何もしないで待つ""""}]"""
500019	5	violation	違反	an act of breaking a rule or law	The team reported a violation of the rules.	そのチームは規則違反を報告した。	noun	5	2	""[""""違反"""",""""許可"""",""""提案"""",""""努力"""",""""成功""""]""	""[""""violation"""",""""permission"""",""""suggestion"""",""""effort"""",""""success""""]""	""[""""violation"""",""""vacation"""",""""relation"""",""""direction"""",""""version""""]""	""[{""""word"""":""""offense"""",""""note"""":""""法律や規則に対する違反""""}]""	""[{""""word"""":""""obedience"""",""""note"""":""""規則に従うこと""""}]"""
500020	5	bribery	わいろ	the act of giving money to make someone act unfairly	The company denied bribery in the deal.	その会社はその取引でのわいろを否定した。	noun	5	1	""[""""わいろ"""",""""詐欺"""",""""契約"""",""""罰金"""",""""証拠""""]""	""[""""bribery"""",""""fraud"""",""""contract"""",""""fine"""",""""evidence""""]""	""[""""bribery"""",""""library"""",""""primary"""",""""summary"""",""""battery""""]""	[]	[]"
500021	5	revision	修正	a change made to improve something	I made a revision to my report.	私はレポートに修正を加えた。	noun	5	3	""[""""修正"""",""""削減"""",""""分離"""",""""追加"""",""""説明""""]""	""[""""revision"""",""""reduction"""",""""separation"""",""""addition"""",""""description""""]""	""[""""revision"""",""""decision"""",""""division"""",""""version"""",""""religion""""]""	""[{""""word"""":""""correction"""",""""note"""":""""まちがいを直すことに近い""""}]""	[]"
500022	5	separation	分離	the act of moving things or people apart	The separation of trash is important.	ごみの分別は大切です。	noun	5	3	""[""""分離"""",""""修正"""",""""削減"""",""""結合"""",""""発見""""]""	""[""""separation"""",""""revision"""",""""reduction"""",""""union"""",""""discovery""""]""	""[""""separation"""",""""celebration"""",""""operation"""",""""generation"""",""""situation""""]""	""[{""""word"""":""""division"""",""""note"""":""""部分に分ける意味で近い""""}]""	""[{""""word"""":""""union"""",""""note"""":""""一つになること""""}]"""
500023	5	reduction	削減	the act of making something less	The company announced a reduction in costs.	その会社は費用の削減を発表した。	noun	5	3	""[""""削減"""",""""修正"""",""""分離"""",""""増加"""",""""選択""""]""	""[""""reduction"""",""""revision"""",""""separation"""",""""increase"""",""""choice""""]""	""[""""reduction"""",""""production"""",""""instruction"""",""""relation"""",""""reaction""""]""	""[{""""word"""":""""decrease"""",""""note"""":""""量が減ること""""}]""	""[{""""word"""":""""increase"""",""""note"""":""""量が増えること""""}]"""
500024	5	resistance	抵抗	the act of fighting against something	The plan met strong resistance from the students.	その計画は生徒たちの強い抵抗にあった。	noun	5	3	""[""""抵抗"""",""""協力"""",""""賛成"""",""""努力"""",""""変化""""]""	""[""""resistance"""",""""support"""",""""agreement"""",""""effort"""",""""change""""]""	""[""""resistance"""",""""distance"""",""""instance"""",""""assistant"""",""""result""""]""	""[{""""word"""":""""opposition"""",""""note"""":""""より一般的な「反対」""""}]""	""[{""""word"""":""""acceptance"""",""""note"""":""""受け入れること""""}]"""
500025	5	tribute	賛辞	words or actions that show respect or praise	The speech was a tribute to her teacher.	そのスピーチは彼女の先生への賛辞だった。	noun	5	2	""[""""賛辞"""",""""批判"""",""""助言"""",""""報告"""",""""冗談""""]""	""[""""tribute"""",""""criticism"""",""""advice"""",""""report"""",""""joke""""]""	""[""""tribute"""",""""trip"""",""""true"""",""""trouble"""",""""traffic""""]""	""[{""""word"""":""""praise"""",""""note"""":""""より一般的な語""""}]""	""[{""""word"""":""""criticism"""",""""note"""":""""批判""""}]"""
500026	5	rotation	回転	movement in a circle around a center	The rotation of the earth causes day and night.	地球の回転が昼と夜を生み出す。	noun	5	3	""[""""回転"""",""""移動"""",""""成長"""",""""停止"""",""""衝突""""]""	""[""""rotation"""",""""movement"""",""""growth"""",""""stop"""",""""collision""""]""	""[""""rotation"""",""""relation"""",""""station"""",""""vacation"""",""""location""""]""	""[{""""word"""":""""turn"""",""""note"""":""""より基本的な語""""}]""	[]"
500027	5	theft	盗み	the crime of taking something that is not yours	The store reported a theft last night.	その店は昨夜、盗みがあったと届け出た。	noun	5	3	""[""""盗み"""",""""火事"""",""""事故"""",""""けんか"""",""""詐欺""""]""	""[""""theft"""",""""arson"""",""""accident"""",""""fight"""",""""fraud""""]""	""[""""theft"""",""""left"""",""""test"""",""""tent"""",""""thank""""]""	""[{""""word"""":""""stealing"""",""""note"""":""""より一般的な言い方""""}]""	[]"
500028	5	suspension	停学	a punishment that stops a student from going to school for a time	He got a suspension for fighting at school.	彼は学校でけんかをして停学になった。	noun	6	2	""[""""停学"""",""""退学"""",""""注意"""",""""罰金"""",""""警告""""]""	""[""""suspension"""",""""expulsion"""",""""warning"""",""""fine"""",""""notice""""]""	""[""""suspension"""",""""attention"""",""""condition"""",""""suggestion"""",""""discussion""""]""	[]	[]"
500029	5	utilization	利用	the act of using something in a useful way	The utilization of solar energy is increasing.	太陽エネルギーの利用は増えている。	noun	6	2	""[""""利用"""",""""発明"""",""""保存"""",""""輸送"""",""""調査""""]""	""[""""utilization"""",""""invention"""",""""storage"""",""""transport"""",""""research""""]""	""[""""utilization"""",""""organization"""",""""realization"""",""""education"""",""""operation""""]""	""[{""""word"""":""""use"""",""""note"""":""""より基本的な語""""}]""	[]"
500030	5	vaccination	予防接種	a shot that helps prevent disease	The child got a vaccination at the clinic.	その子どもは診療所で予防接種を受けた。	noun	5	3	""[""""予防接種"""",""""手術"""",""""診察"""",""""治療"""",""""薬""""]""	""[""""vaccination"""",""""operation"""",""""examination"""",""""treatment"""",""""medicine""""]""	""[""""vaccination"""",""""vacation"""",""""variation"""",""""application"""",""""celebration""""]""	""[{""""word"""":""""shot"""",""""note"""":""""口語で「注射」""""}]""	[]"
500031	5	warfare	戦争	the activity of fighting in a war	Modern warfare uses advanced technology.	現代の戦争では高度な技術が使われる。	noun	5	2	""[""""戦争"""",""""平和"""",""""貿易"""",""""会議"""",""""旅行""""]""	""[""""warfare"""",""""peace"""",""""trade"""",""""meeting"""",""""travel""""]""	""[""""warfare"""",""""welfare"""",""""warmer"""",""""worker"""",""""wonder""""]""	""[{""""word"""":""""war"""",""""note"""":""""より基本的な語""""}]""	""[{""""word"""":""""peace"""",""""note"""":""""戦争がない状態""""}]"""
500032	5	behavior	行動	the way a person acts	His behavior was polite at dinner.	夕食のときの彼の行動は礼儀正しかった。	noun	4	4	""[""""行動"""",""""性格"""",""""習慣"""",""""表情"""",""""意見""""]""	""[""""behavior"""",""""character"""",""""habit"""",""""expression"""",""""opinion""""]""	""[""""behavior"""",""""savior"""",""""visitor"""",""""senior"""",""""failure""""]""	""[{""""word"""":""""conduct"""",""""note"""":""""ややかたい語""""}]""	[]"
500033	5	dynamic	活発な	full of energy and action	She is a dynamic leader.	彼女は活発なリーダーです。	adjective	5	3	""[""""活発な"""",""""静かな"""",""""慎重な"""",""""親切な"""",""""正直な""""]""	""[""""dynamic"""",""""quiet"""",""""careful"""",""""kind"""",""""honest""""]""	""[""""dynamic"""",""""dramatic"""",""""domestic"""",""""economic"""",""""athletic""""]""	""[{""""word"""":""""active"""",""""note"""":""""より基本的な語""""},{""""word"""":""""energetic"""",""""note"""":""""元気いっぱいの""""}]""	""[{""""word"""":""""inactive"""",""""note"""":""""活動していない""""},{""""word"""":""""quiet"""",""""note"""":""""おとなしい文脈で使える""""}]"""
500034	5	in reality	実際は	actually; in fact	In reality, the test was not so hard.	実際は、そのテストはそれほど難しくありませんでした。	adverb	5	3	""[""""実際は"""",""""突然"""",""""たぶん"""",""""最後に"""",""""例えば""""]""	""[""""in reality"""",""""suddenly"""",""""probably"""",""""finally"""",""""for example""""]""	""[""""in reality"""",""""in return"""",""""in a hurry"""",""""in detail"""",""""in general""""]""	""[{""""word"""":""""actually"""",""""note"""":""""より基本的な語""""},{""""word"""":""""in fact"""",""""note"""":""""事実として""""}]""	[]"
500035	5	to make matters worse	さらに悪いことに	used to add something more bad	To make matters worse, it started to rain.	さらに悪いことに、雨が降り始めました。	conjunction	5	2	""[""""さらに悪いことに"""",""""その結果"""",""""たとえば"""",""""一方で"""",""""少なくとも""""]""	""[""""to make matters worse"""",""""as a result"""",""""for example"""",""""on the other hand"""",""""at least""""]""	""[""""to make matters worse"""",""""to make things better"""",""""to take a bus first"""",""""to meet after school"""",""""to wake up early""""]""	""[{""""word"""":""""worse still"""",""""note"""":""""同じように文頭で使う""""}]""	[]"
500036	5	extension	延長	extra time given for something	I got an extension for my homework.	私は宿題の延長をもらった。	noun	5	3	""[""""延長"""",""""提案"""",""""予約"""",""""招待"""",""""経験""""]""	""[""""extension"""",""""suggestion"""",""""reservation"""",""""invitation"""",""""experience""""]""	""[""""extension"""",""""attention"""",""""direction"""",""""question"""",""""expression""""]""	""[{""""word"""":""""extra time"""",""""note"""":""""期限などの延長を表すやさしい言い方""""}]""	[]"
500037	5	furthermore	そのうえ	in addition to what was said	The hotel was clean, and furthermore, it was cheap.	そのホテルは清潔で、そのうえ安かった。	adverb	5	2	""[""""そのうえ"""",""""しかし"""",""""たぶん"""",""""ついに"""",""""代わりに""""]""	""[""""furthermore"""",""""however"""",""""probably"""",""""finally"""",""""instead""""]""	""[""""furthermore"""",""""forever"""",""""formal"""",""""farmer"""",""""feather""""]""	""[{""""word"""":""""moreover"""",""""note"""":""""より書き言葉でよく使う""""}]""	""[{""""word"""":""""however"""",""""note"""":""""逆の内容をつなぐ語""""}]"""
500038	5	recommendation	推薦	an opinion that something is good	Thank you for your recommendation.	ご推薦ありがとうございます。	noun	5	3	""[""""推薦"""",""""説明"""",""""発見"""",""""会話"""",""""選択""""]""	""[""""recommendation"""",""""explanation"""",""""discovery"""",""""conversation"""",""""choice""""]""	""[""""recommendation"""",""""communication"""",""""conversation"""",""""combination"""",""""celebration""""]""	""[{""""word"""":""""suggestion"""",""""note"""":""""より広く使えるやさしい語""""}]""	[]"
500039	5	thereafter	その後	after that time	He moved to Osaka and lived there thereafter.	彼は大阪に引っ越し、その後ずっとそこに住んだ。	adverb	5	2	""[""""その後"""",""""以前に"""",""""すぐに"""",""""最後に"""",""""突然""""]""	""[""""thereafter"""",""""beforehand"""",""""soon"""",""""finally"""",""""suddenly""""]""	""[""""thereafter"""",""""therefore"""",""""their"""",""""throughout"""",""""thoughtful""""]""	""[{""""word"""":""""afterward"""",""""note"""":""""より一般的な語""""},{""""word"""":""""later"""",""""note"""":""""より広い意味で使う""""}]""	""[{""""word"""":""""beforehand"""",""""note"""":""""前もって""""}]"""
500040	5	unconstitutional	違憲の	not allowed by the constitution	The court said the new law was unconstitutional.	裁判所はその新しい法律は違憲だと言った。	adjective	5	1	""[""""違憲の"""",""""合法の"""",""""公平な"""",""""重要な"""",""""公式の""""]""	""[""""unconstitutional"""",""""legal"""",""""fair"""",""""important"""",""""official""""]""	""[""""unconstitutional"""",""""unusual"""",""""international"""",""""educational"""",""""traditional""""]""	[]	""[{""""word"""":""""constitutional"""",""""note"""":""""憲法にかなった""""},{""""word"""":""""legal"""",""""note"""":""""法律上認められた""""}]"""
500041	5	be opposed to	反対している	to disagree with or be against something	Many people are opposed to the plan.	多くの人がその計画に反対している。	verb	5	3	""[""""反対している"""",""""賛成している"""",""""興味がある"""",""""満足している"""",""""驚いている""""]""	""[""""be opposed to"""",""""agree with"""",""""be interested in"""",""""be satisfied with"""",""""be surprised at""""]""	""[""""be opposed to"""",""""be open to"""",""""be close to"""",""""be used to"""",""""be polite to""""]""	""[{""""word"""":""""be against"""",""""note"""":""""より口語的""""},{""""word"""":""""disagree with"""",""""note"""":""""意見が合わない""""}]""	""[{""""word"""":""""agree with"""",""""note"""":""""賛成する""""},{""""word"""":""""support"""",""""note"""":""""支持する""""}]"""
500042	5	contrary to	〜に反して	in a way that is different from something expected or stated	Contrary to our plan, it rained all day.	私たちの計画に反して、一日中雨が降った。	preposition	5	3	""[""""〜に反して"""",""""〜のおかげで"""",""""〜の前に"""",""""〜と一緒に"""",""""〜について""""]""	""[""""contrary to"""",""""because of"""",""""before"""",""""with"""",""""about""""]""	""[""""contrary to"""",""""country"""",""""control"""",""""contract"""",""""contrast""""]""	[]	[]"
500043	5	be contrary to	〜に反する	to be against a rule, idea, or fact	His actions were contrary to the school rules.	彼の行動は学校の規則に反していた。	verb	5	2	""[""""〜に反する"""",""""〜に従う"""",""""〜を含む"""",""""〜を支える"""",""""〜を説明する""""]""	""[""""be contrary to"""",""""follow"""",""""include"""",""""support"""",""""explain""""]""	""[""""be contrary to"""",""""be careful"""",""""be close to"""",""""be common"""",""""be ready to""""]""	[]	[]"
500044	5	compromise	妥協	an agreement in which each side gives up something	After a long talk, they reached a compromise.	長い話し合いのあと、彼らは妥協に達した。	noun	5	3	""[""""妥協"""",""""議論"""",""""提案"""",""""約束"""",""""意見""""]""	""[""""compromise"""",""""argument"""",""""proposal"""",""""promise"""",""""opinion""""]""	""[""""compromise"""",""""company"""",""""compose"""",""""compress"""",""""surprise""""]""	""[{""""word"""":""""agreement"""",""""note"""":""""より広い意味の「合意」""""}]""	[]"
500045	5	accord	一致	agreement between people or groups	The two countries lived in accord for many years.	その2つの国は長年、調和して暮らしていた。	noun	5	2	""[""""一致"""",""""反対"""",""""議論"""",""""計画"""",""""約束""""]""	""[""""accord"""",""""debate"""",""""plan"""",""""promise"""",""""reply""""]""	""[""""accord"""",""""record"""",""""aboard"""",""""account"""",""""across""""]""	""[{""""word"""":""""agreement"""",""""note"""":""""より一般的な語""""}]""	""[{""""word"""":""""conflict"""",""""note"""":""""対立・不一致""""}]"""
500046	5	consent	同意	permission or agreement to do something	Her parents gave their consent to the trip.	彼女の両親はその旅行に同意した。	noun	5	3	""[""""同意"""",""""拒否"""",""""提案"""",""""命令"""",""""注意""""]""	""[""""consent"""",""""refusal"""",""""proposal"""",""""order"""",""""warning""""]""	""[""""consent"""",""""content"""",""""concert"""",""""connect"""",""""concern""""]""	""[{""""word"""":""""agreement"""",""""note"""":""""意味が近い基本語""""},{""""word"""":""""permission"""",""""note"""":""""許可の意味が強い""""}]""	""[{""""word"""":""""refusal"""",""""note"""":""""同意しないこと""""}]"""
500047	5	unanimous	全員一致の	having complete agreement by everyone	The class made a unanimous decision.	クラスは全員一致の決定をした。	adjective	6	2	""[""""全員一致の"""",""""不確かな"""",""""個人的な"""",""""突然の"""",""""公式の""""]""	""[""""unanimous"""",""""uncertain"""",""""personal"""",""""sudden"""",""""official""""]""	""[""""unanimous"""",""""enormous"""",""""anonymous"""",""""dangerous"""",""""famous""""]""	""[{""""word"""":""""agreed"""",""""note"""":""""文脈によって近い意味""""}]""	""[{""""word"""":""""divided"""",""""note"""":""""意見が分かれた""""}]"""
500048	5	consensus	合意	general agreement in a group	The team reached a consensus after a long meeting.	そのチームは長い会議のあとで合意に達した。	noun	5	2	""[""""合意"""",""""反対"""",""""提案"""",""""議論"""",""""決定""""]""	""[""""consensus"""",""""conflict"""",""""proposal"""",""""debate"""",""""decision""""]""	""[""""consensus"""",""""concern"""",""""concert"""",""""condition"""",""""conference""""]""	""[{""""word"""":""""agreement"""",""""note"""":""""より一般的で基本的な語""""}]""	""[{""""word"""":""""disagreement"""",""""note"""":""""意見が一致しないこと""""}]"""
500049	5	with a view to	〜する目的で	for the purpose of doing something	She saved money with a view to studying abroad.	彼女は留学する目的でお金をためた。	preposition	5	2	""[""""〜する目的で"""",""""〜にもかかわらず"""",""""〜の代わりに"""",""""〜に加えて"""",""""〜によると""""]""	""[""""with a view to"""",""""in spite of"""",""""instead of"""",""""in addition to"""",""""according to""""]""	""[""""with a view to"""",""""with a few friends"""",""""with a new bag"""",""""with a blue pen"""",""""with a good plan""""]""	""[{""""word"""":""""for the purpose of"""",""""note"""":""""やや説明的な言い換え""""}]""	[]"
500050	5	humanity	人類	all people in the world	We must protect the future of humanity.	私たちは人類の未来を守らなければならない。	noun	5	3	""[""""人類"""",""""社会"""",""""自然"""",""""文化"""",""""歴史""""]""	""[""""humanity"""",""""society"""",""""nature"""",""""culture"""",""""history""""]""	""[""""humanity"""",""""humidity"""",""""community"""",""""opportunity"""",""""unity""""]""	""[{""""word"""":""""humankind"""",""""note"""":""""人類全体を表す語""""}]""	[]"
500051	5	barely	かろうじて	only just; almost not	I could barely hear his voice.	私は彼の声がかろうじて聞こえた。	adverb	5	3	""[""""かろうじて"""",""""突然"""",""""完全に"""",""""静かに"""",""""すぐに""""]""	""[""""barely"""",""""suddenly"""",""""completely"""",""""quietly"""",""""quickly""""]""	""[""""barely"""",""""fairly"""",""""early"""",""""really"""",""""rarely""""]""	""[{""""word"""":""""hardly"""",""""note"""":""""barely と近いが、より否定的に使うことが多い""""}]""	""[{""""word"""":""""fully"""",""""note"""":""""十分に""""}]"""
500052	5	on one's own	ひとりで	without help from other people	She finished the work on her own.	彼女はその仕事をひとりで終えた。	adverb	5	3	""[""""ひとりで"""",""""いっしょに"""",""""すぐに"""",""""ゆっくり"""",""""とつぜん""""]""	""[""""on one's own"""",""""together"""",""""quickly"""",""""slowly"""",""""suddenly""""]""	""[""""on one's own"""",""""on my own"""",""""all alone"""",""""on the road"""",""""in my room""""]""	""[{""""word"""":""""alone"""",""""note"""":""""状態として一人で""""},{""""word"""":""""by oneself"""",""""note"""":""""ほぼ同じ意味""""}]""	""[{""""word"""":""""together"""",""""note"""":""""いっしょに""""}]"""
500053	5	additionally	さらに	also; in addition	Additionally, we need more time.	さらに、私たちにはもっと時間が必要です。	adverb	5	2	""[""""さらに"""",""""たぶん"""",""""最後に"""",""""静かに"""",""""突然""""]""	""[""""additionally"""",""""probably"""",""""finally"""",""""quietly"""",""""suddenly""""]""	""[""""additionally"""",""""actually"""",""""especially"""",""""certainly"""",""""gradually""""]""	""[{""""word"""":""""also"""",""""note"""":""""より基本的な語""""},{""""word"""":""""besides"""",""""note"""":""""追加情報を述べるときに使う""""}]""	[]"
